identity,question,a,b,c,d,correct _answer
hsc-chemistry-12-1,Orbital Hound གི་ལམ་ལུགས་འདི་ ག་ལུ་སྟོན་ནི་མེདཔ་ཨིན་ན?,s,p,d,f,a
hsc-chemistry-12-2,ཌོག་ཊར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་ ཌོག་ཊར་བཱེན་ཇར་,རཱད་རར་ཕོརཌ་,བོ་ར་,ཌི་-བཱརག་ལི་,ཇ་. ཇ་. ཐཱོམ་སོན་,a
hsc-chemistry-12-3,ཀ་ལསི་ཡཱམ་ཕོསི་བེཊི་གི་ ཚུལ་མཐུན་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༢༧ S^{3} འདི་ ༢༧ S^{3} ཨིན།,S^{5} འདི་ལུ་,༢༧ S^{5},༡༠༨S^{5} འདི་ལུ་,d
hsc-chemistry-12-4,འ་ནི་འོག་གི་རྒྱུ་རྫས་ག་འདི་ནང་ལུ་ འགོ་དང་པ་རང་ ཤུགས་ཉུང་ཤོས་ཅིག་ཡོདཔ་ཨིན་ན?,Rb,ཀ་,ན,ལི་,a
hsc-chemistry-12-5,4f གི་མཐའ་འཁོར་གྱི་ (n+l) གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,4,6,7,11,c
hsc-chemistry-12-6,མཐུད་སྦྲེལ་གྱི་གྲལ་ལས་ ག་འདི་ཤུགས་ཆེ་ཤོས་ཨིན་ན?,པི་-སྦྲེལ་,སི་གམཱལ་-སྦྲེལ་,ཧའི་ཌོ་ཇེན་གི་ཕྲང་ལམ་,ཝཱན་ཌར་ ཝ་ལཱསི་གི་གླིངམ་,b
hsc-chemistry-12-7,འོག་གི་ལས་སྣ་ག་འདི་ བཱཕ་རེའི་སེལ་ཐབས་ཀྱི་ ཐབས་བྱུས་དང་འབྲེལ་བ་ཡོདཔ་སྨོ་,La-Shatellierགི་སྲིད་བྱུས་,ཨར་ཧེ་ནི་ཡཱསི་གི་རྩིས་གཞི་,ཨོསི་ཝཱལ་ཌི་གི་ དམའ་ཕབ་གཏང་ནིའི་ལམ་ལུགས་,Fazan གི་ལམ་ལུགས་,a
hsc-chemistry-12-8,25^{\circ}C གི་ཆུ་གི་ pK_{w}གི་གནས་གོང་འདི་ག་ཅི་ཨིན་ན?,7,10,12,14,d
hsc-chemistry-12-9,གློག་ཤུགས་ཁེ་རྒོ་ཅན་གི་རིམ་པ་ངོ་མ་འདི་ག་ཅི་ཨིན་ན?,I > Br > Cl,F > O > Cl,F > Cl > O,N > I > Br,b
hsc-chemistry-12-10,ལྕགས་ཀྱི་དོག་མ་ཤུགས་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,CsCl,RbCl,MgCl_{2},CaCl_{2} འདི་ཡང་,c
hsc-chemistry-12-11,གྲུབ་འབྲས་ག་ཅི་ལུ་བརྟེན་ཏེ་ pH ཚད་འདི་ མཐོ་ཤོས་སྦེ་མཐོངམ་ཨིན་ན?,10^{-2} M HCl འདི་,5\times 10^{-2}} M H_{2}SO_{4}ལུ་ བསྒྱུར་འབདཝ་ཨིན།,10^{-1}M ནི་ NaOH ཨིན་པས།,10^{-4}M Na_{2}CO_{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,c
hsc-chemistry-12-12,ནིཊི་རོཇེན་དང་ ཨོ་ཟི་ཇེན་གཉིས་ཆ་ར་ལུ་ དུས་འཁོར་གྱི་ཁྱད་པར་ག་ཅི་ཡོདཔ་ཨིན་ན?,གློག་ཤུགས་ཀྱི་རང་འདོད་འདི་,ལྕགས་ཀྱི་ཤུགས་,ལྡོག་ཕྱོགས་ཚོགས་པ་,ནུས་ཤུགས་ཀྱི་ཁྱབ་ཚད་,b
hsc-chemistry-12-13,K_{p} > K_{c} འདི་ ཇི་བཟུམ་ཅིག་ལུ་འགྱུར་ཡོདཔ་ཨིན་ན?,\frac{1}{2}H_{2}(g) +\frac{1}{2}I_{2}(g) \rightleftharpoons HI(g) འདི་ཡང་ སྦྲགས་སྦྲགས་འབད་བཏུབ་ཨིན།,\frac{1}{2}N_{2}(g) +\frac{3}{2}H_{2}(g) \rightleftharpoons NH_{3}(g) འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་,PCl_{5}(g) \rightleftharpoons PCl_{3}(g) +Cl_{2}(g) འདི་ཡང་ སྦ་སྒོར་ནང་ཡོད་པའི་བེ་ལུ་ཨིན་པཱའིན་འདི་ཨིན།,2SO_{2}(g) +O_{2}(g) \rightleftharpoons 2SO_{3}(g) འདི་ཡང་ སྦ་སྒོར་ནང་བཙུགས་ཏེ་ བཏོན་གཏང་ནུག,c
hsc-chemistry-12-14,འ་ནི་མཐའ་འཁོར་ལམ་འདི་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,1p,༤ ཚུན་,༣་ཨེཕ་,༢d,b
hsc-chemistry-12-15,འ་ནི་ལས་ཀ་འདི་གིས་ ཨེཆ་ཨའི་ཨོཕ་གི་ ཨེཆ་ཨོཕ་གི་ ཨེཆ་ཨོཕ་གི་ ཨེཆ་ཨོཕ་གི་ ཨེཆ་ཨོཕ་ལུ་ ཕན་ཐོགས་འབྱུང་འོང་།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-chemistry-12-16,i. ཀ་^{2+},s-orbital,p-orbital,d-orbital,f-orbitals འདི་ཚུ་,b
hsc-chemistry-12-17,༢། ཨཱལ་^{3+} འདི་ཡང་,ཁོ་གིས་,C,ཨོ་,F,a
hsc-chemistry-12-18,གསུམ་པ་ Cl^{-} འདི་ཡང་,ཨེཇི་ཨེཕ་,AgCl,AgBr,AgI,a
hsc-chemistry-12-19,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,ནི^{+},Mg^{2+} འདི་ཡང་,Fe^{2+} འདི་ནང་ལུ་,ཨཱལ་^{3+} འདི་ཡང་,d
hsc-chemistry-12-20,པི་ཨའི་མཐུད་སྦྲེལ་འདི་ འོག་ལུ་ཡོད་པའི་མཐའ་འཁོར་ལམ་ག་ལུ་ སྦྲེལ་ཡོདཔ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-21,འ་ནི་གྲལ་ལས་ ག་འདི་ནང་ལུ་ གློག་ཤུགས་ཁེ་རྒུད་ཉུང་ཤོས་ཅིག་ཡོདཔ་ཨིན་ན?,SO_{4}^{2-} འདི་ལུ་བལྟ་བ་ཅིན་,SO_{3}^{2-} འདི་ལུ་བལྟ་བ་ཅིན་,H_{2}SO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,H_{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,d
hsc-chemistry-12-22,འོག་གི་ཚྭ་འདི་ག་འདི་ ཆུ་ནང་རླག་འགྱོཝ་ཨིན་ན?,ཟངས་སྦྱར་,འབྲེལ་བ་འཐབ་ནིའི་ཐིག་ཁྲམ་,མུ་ཏིག་གཏང་,མེ་རླུང་རྒྱ་རྫི་,a
hsc-chemistry-12-23,འ་ནི་འོག་གི་ཨའི་ཨོནསི་འདི་ག་འདི་ ནེ་གཱཊི་ཨོནསི་ལས་ལྷག་པའི་ དབྱེ་ཁག་བཟོ་ཚུགས་ག?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-25,i. ཚོང་བཙོང་ནི་དེ་ མགྱོགས་དྲགས་སྦེ་ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,H_{3}PO_{4}^{-}+Na_{2}HPO_{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,HS^{-}+Na_{2}S འདི་ཡང་,CO_{3}^{2-}+HCO_{3}^{-} འདི་ཡང་ HCO_{3}^{-} འདི་ཡང་ HCO_{3}^{-},CH_{3}COOH+CH_{3}COONa ཚུར་ཐིག་གི་ཕྲ་རིང་ལུ་,c
hsc-chemistry-12-26,༢། སྦྲགས་བཙོང་ནི་དེ་ མར་ཕབ་འབདཝ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-27,གསུམ་པ་ འདི་ཚུ་ འཕྲལ་མགྱོགས་རང་ བརྟག་ཞིབ་འབད་ཚུགས་ནི་ཨིན་མས།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-28,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,0.8,13.4,13.2,1,b
hsc-chemistry-12-29,གྲུབ་འབྲས་འདི་ ག་བཟུམ་ཅིག་ལུ་གཞི་བཞག་སྟེ་ བཟོ་ནི་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-30,ག་འདི་ ཨེསི་ཊི་ཨེམ་བཱའར་མེན་ནི་ཨིནམ།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-32,i. pHའདི་ ༤.༧༤ ཨིནམ་ལས་ མཆིན་པའི་ནད་འབུབ་ཚུ་གིས་ ཡར་འཕེལ་འགྱོ་མི་ཚུགས།,༢d,༣p,༣d,༣་ཨེཕ་,c
hsc-chemistry-12-33,༢། ཚོད་བསྲེའི་རིགས་ཚུ་ བཞེས་སྒོ་འབད་ནི་ལུ་ ཐབས་ཤེས་ལེགས་ཤོམ་ཅིག་ཨིན་མས།,ཨན་ཡོན་གྱི་ཚད་,ཀ་ཊ་ཡཱན་གི་ཆེ་ཆུང་,མཚམས་སྦྱོར་གྱི་ཨོསི་ཌི་ཨོསི་ཌི་ཨོནམོ་བརི།,རྡུལ་ཕྲན་ལྟེ་བའི་ནང་ཡོད་མི་ charge density,a
hsc-chemistry-12-34,གསུམ་པ་ སྲོག་ཆགས་ཀྱིས་ བཀྲམ་སྤེལ་འབད་ཚུགས་པའི་ ཕན་ཐོགས་ཡོད།,CO_{3}^{2-}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,Cl^{-} འདི་ཡང་,NH_{4}^{+} འདི་ཡང་,SO_{4}^{2-} འདི་ལུ་བལྟ་བ་ཅིན་,d
hsc-chemistry-12-35,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,NH_{4}Cl,HCl,BaCl_{2} འདི་ཡང་,H_{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,b
hsc-chemistry-12-36,ན་ཨོ་ཧི་ (NaOH) གི་ 1% གི་ཧེ་མར་གནས་ཚད་དེ་ pH ཇི་བཟུམ་ཅིག་ཨིན་ན?,Na > Na^{+} འདི་ཡང་,F > F^{-} འདི་ལུ་,Al^{3+} > Mg^{2+} འདི་ཡང་ ཀེར་ཐིག་གི་མཐའ་འཁོར་ལུ་ཡོད་པའི་ ཀེར་ཐིག་ཨིན།,ཨོ་ > ཨོ་^{2-},a
hsc-chemistry-12-38,i. ཀ་ཊ་ཡཱན་གི་ཆེ་ཆུང་ལུ་བལྟ་བ་ཅིན་,དབྱེ་སེལ་གྱི་ཚད་འདི་ དབྱེ་སེལ་གྱི་རྒྱ་ཚད་དང་བསྟུན་ཏེ་ཡོདཔ་ཨིན།,དབྱེ་སེལ་གྱི་ཚད་འདི་ ཟུར་ཐིག་གི་རྒྱ་ཚད་དང་ འདྲ་མཉམ་ཨིན།,དབྱེ་ཞིབ་གི་ཚད་འདི་ དབྱེ་ཁག་གི་རྒྱ་ཚད་དང་བསྟུན་ཏེ་ཡོདཔ་ཨིན།,དབྱེ་ཞིབ་གི་ཚད་གཞི་འདི་ ཀུ་པི་གི་རྒྱ་ཚད་དང་བསྟུན་ཏེ་ཡོདཔ་ཨིན།,d
hsc-chemistry-12-39,༢། ཨ་ནཱི་གི་ཆེ་ཆུང་ལུ་བལྟ་བ་ཅིན་,HF(aq) + NaF,CH_{3}COOH + CH_{3}COONa འདི་ཡང་ ཀོ་ཧོནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་,HCOOH + CH_{3}COONa འདི་ ཀོ་ནའི་ཨེན་ཨིན་པི་ ཨེགསི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་ཨིན་པི་,NH_{4}OH + (NH_{4}) _{2}CO_{3} འདི་ཡང་ ཀོ་ཧོནཌི་ལུ་བརྟེན་ཡོདཔ་ཨིན།,b
hsc-chemistry-12-40,གསུམ་པ་ cation དང་ anion གི་རྩིས་ཁྲ་དང་འབྲེལ་བའི་,ཚོང་བཙོང་ནི་མཇུག་བསྡུ་ནུག,ཚོང་འབྲེལ་འདི་ཕྱོགས་གཅིག་ཁ་ལུ་རྐྱངམ་གཅིག་ འགྱོ་དོ་ཡོདཔ་ཨིན།,དབང་ཤུགས་ཅན་གྱི་མི་དགོས་མཁོ་ཡོདཔ་ཨིན།,འདྲ་མཉམ་གྱི་གནས་ཚད་དེ་ བརྟན་ཏོག་ཏོ་ཨིན།,d
hsc-chemistry-12-41,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,སཱཀོལོཇ་,ལེན་བསྒྱུར་ཚྭ་,མལཏ་,མཱལ་ཏོཇ་,b
hsc-chemistry-12-42,གློག་མེའི་གློག་ཤུགས་ཀྱི་དལ་ཚད་འདི་ ག་འདི་ལས་རིངམ་ཨིན་ན?,"(1, 1, 1, +\frac{1}{2}) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།","(2, 0, 1, +\frac{1}{2}) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།","(༤,༢, -༡, -\frac{1}{2}) འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་","(3, 1, -2, -\frac{1}{2}) འདི་ཡང་ ཕྲང་ཕྲང་ཨིན་",c
hsc-chemistry-12-43,l = 2 དང་ n = 3 འབདཝ་ད་ལུ་ ཙི་ཙི་མཐའ་འཁོར་འདི་ག་དེ་ཅིག་ཕྲངམ་ཨིན་ན?,3,2,1,6,d
hsc-chemistry-12-44,ཧའི་ཌར་སི་ཌི་གི་ཤུགས་འདི་ ག་ལུ་རག་ལུས་ཡོདཔ་ཨིན་ན?,ཨེ་ཊ་ནོལ་,ཧའི་ཌོ་ཇེན་ ཀལོ་རའེ་ཌ་,ཨམ་མོ་ནི་ཡ་,ཆུ་,d
hsc-chemistry-12-45,A+Ba ((NO_{3})_{2}\rightarrow དཀར་ཆག་ \xrightarrow[]{HCl}འདི་ མུ་ཏིག་མེདཔ་ཨིན་ 'A'འདི་ནང་ལུ་ གཞི་རྟེན་ག་འདི་ཡོདཔ་ཨིན་ན?,ScCl_{3} དེ་ནང་ལུ་,TiCl_{4} འདི་ཡང་,CrSO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,CaSO_{4} འདི་ཡང་,c
hsc-chemistry-12-46,ཟ་འཐུང་གི་ཚྭའི་རིགས་ཚུ་བཙོ་ནིའི་དོན་ལུ་ འོག་གི་ལས་ག་འདི་ལག་ལེན་འཐབ་ནི་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-47,ཚད་ཀྱི་ཐད་ཁར་ འབྲེལ་བ་ག་ཅི་ཡོདཔ་ཨིན་ན?,ཨམ་ལི་ཡཱན་ བཱཕ་ར་,ཨལ་ཀ་ལེ་རིསི་ བཱཕ་ར་,དབྱེ་བ་ཕྱེ་ཚུགས།,ཨེམ་ལི་ཡཱན་,b
hsc-chemistry-12-48,ལྕགས་ཀྱི་བཞུ་ནིའི་གནས་ཚད་འདི་ ཡར་སེང་འགྱོ་དོ་ཡོདཔ་ད་,C_{2}H_{2} འདི་ལུ་བལྟ་བ་ཅིན་,C_{2}H_{4} འདི་ལུ་བལྟ་བ་ཅིན་,NH_{3} འདི་ཡང་,H_{2}S གིས་,a
hsc-chemistry-12-49,i. ལྕགས་ཀྱི་གློག་ཟམ་ནང་ལུ་ རང་དབང་གློག་ཟམ་ལེ་ཤ་ཡོད།,འདི་ནང་ལུ་ པོ་རོཊཱོན་གཉིས་དང་ ཨེལ་ཀཀྲོརཊཱོན་གཉིས་ཡོདཔ་ཨིན།,འ་ནི་རྒྱུ་རྡུལ་འདི་ མགྱོགས་དྲགས་སྦེ་འགྱོ་མི་རྒྱུ་རྡུལ་ཨིན།,འ་ནི་གློག་རྡུལ་འདི་ ནུས་ལྡན་གློག་རྡུལ་ཨིན།,འདི་གི་ལྗིད་ཚད་འདི་ ༢ ཨིན།,c
hsc-chemistry-12-50,༢། Ionization power འདི་མར་ཕབ་འགྱོ་དོ་ཡོདཔ་ཨིན།,NiSO_{4,ཨཱལ་_{2}(SO_{4}) _{3} འདི་ལུ་བལྟ་བ་ཅིན་,ZnSO_{4,Sc_{2}(SO_{4}) _{3} འདི་ལུ་བལྟ་བ་ཅིན་,a
hsc-chemistry-12-51,གསུམ་པ་ དེ་ལས་ atoms གི་ཆེ་ཆུང་འདི་ ཉུང་སུ་འགྱོཝ་ཨིན།,དྲོད་ཚད་,དྭངས་ཚད་,ས་སྒོ་,དབང་ཤུགས་ཅན་གྱི་མི་,a
hsc-chemistry-12-52,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-chemistry-12-53,གློག་ཤུགས་ཀྱི་དབྱེ་ཞིབ་འཇམ་ཏོང་ཏོ་འབད་འབད་མི་འདི་ལུ་ དབྱེ་ཞིབ་གི་ཚད་གཞི་དང་ ཚད་གཞི་གི་བར་ན་ འབྲེལ་བ་ག་ཅི་ཡོདཔ་ཨིན་ན?,K\rightarrow K^{+}+e^{-} འདི་ ཀྲོང་གསར་ལས་ཨིན་,ཀ་\rightarrow ཀ་^{+}+e^{-} འདི་ ཀ་\rightarrow ཀ་^{+}+e^{-} ཨིན།,Mg\rightarrow Mg^{+}+e^{-} འདི་ ཀེར་ཐིག་ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ ཕྲ་རིང་དེ་ཨིན།,Na\rightarrow Na^{+}+e^{-} འདི་ཡང་ ཕྲང་ཕྲང་ཨིན་,a
hsc-chemistry-12-54,འོག་གི་རྒྱུ་རྫས་ག་འདི་ བཱཕ་རི་ སཱོལ་ཝིན་སྦེ་ལག་ལེན་འཐབ་ནི་ཨིནམ།,ཨེ་ཊ་ནོལ་,མེ་ཊ་ནོལ་,ཨེ་ཊ་ན་ཨེལ་,ཁུ་བ་ཚ་ཏོམ་,a
hsc-chemistry-12-55,ဓာတုགནས་ཚད་འདི་ག་ཅི་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,ནེསི་ལར་གྱི་ གྲོས་ཆོད་,ཨམ་མོ་ནིའུཊི་འདི་,ལི་ཝར་ནའི་ཊེཊ་གི་ཁུ་བ་,H_{2}S འདི་སེལ་འཐུ་འབད།,b
hsc-chemistry-12-56,ས་མོ་ལ་ལུ་ཡོད་པའི་ གཱལའུ་ཀོཟ་དང་ ཕོརཀོཟ་གཉིས་ཆ་ར་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,ཕྲ་རིང་ UV,IR-rays,gamma rays ཨིན་པུཊི་,མཐོང་ཚུགས་པའི་འོད་ཟེར་,d
hsc-chemistry-12-57,ཨེལོཊརོནཊི་ཅིག་གི་དོན་ལུ་ ཀཝཱནཊ་ཨང་གི་གོ་རིམ་ག་དེ་ ངེས་བདེན་ཨིན་ན?,MgO,Na_{2}Oལུ་ བཏུབ་,ཨཱལ་_{2}O_{3} འདི་ལུ་བལྟ་བ་ཅིན་,ཀ་ཨོ་,c
hsc-chemistry-12-58,འོག་གི་ས་གཞི་ག་ཏེ་གི་ pHའདི་ 1M HCI གྲོས་ཆོད་ལུ་སྤྱོད་ཚུགསཔ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-59,ཧའི་ཌོ་ཇེན་མཐུད་འབྲེལ་འདི་ ག་ལུ་ཤུགས་ཅན་སྦེ་ཡོདཔ་ཨིན་ན?,མཆིན་པའི་ནད་,མཱལ་ཊེཇ་,ཇའི་མཱེཇ་,Mycoderma Aceti འདི་ཡང་ ཤ་ཁྲག་གི་ནད་གཞི་ཅིག་ཨིན་མས།,b
hsc-chemistry-12-60,འ་ནི་ལས་རིགས་ག་ལུ་ ཨེལ་ཀ་ལེ་རིསི་གི་ཨར་བི་ཊཱལ་ནང་ལུ་ ཨེལ་ཀ་ལེ་རིསི་གི་ཨར་བི་ཊཱལ་ཡོདཔ་སྨོ་,2.63,3.62,1.34,2.87,a
hsc-chemistry-12-62,i. ལི་^{+} ཨའོན་གྱི་དབྱིབས་,H_{s} དེ་ནང་ལུ་,PH_{3} དེ་ནང་ལུ་,NH_{3} འདི་ཡང་,BCl_{3} འདི་ལུ་,d
hsc-chemistry-12-63,༢། གློག་མེའི་ཤུགས་འདི་ བསྒྱུར་བཅོས་འབད་ཡོད་པའི་གློག་མེའི་ཤུགས་འདི་ འཐུང་ནི་དང་ བཀྲམ་སྤེལ་འབད་ནི་ཨིན།,༡.༠༥\times ༡༠^{-34}Js འདི་ ༡.༠༥\times ༡༠^{-34}Js ཨིན།,2.11\times 10^{-34}Js འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,3.16\times 10^{-34}Js འདི་ལུ་བལྟ་བ་ཅིན་,4.22\times 10^{-34}Js འདི་ལུ་བལྟ་བ་ཅིན་,a
hsc-chemistry-12-64,གསུམ་པ་ ཨེལོཀཊོནགྱི་ཟུར་གྱི་ཤུགས་ = \frac{nh}{2\pi},ཟི་ལིང་ སཱལཕ་ཊི་,ཟི་ལིང་ སཱལཕ་ཊི་,ཟི་ལིང་ སཱལ་ཕ་ཡེཌ་,Zinc Phosphate ཨིནསི་ཀིསི་ཕོསི་བེཊ་,c
hsc-chemistry-12-65,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,སྲོག་གཅོད་འབད་དོ་,ནད་བཅོས་འབད་ཐངས་,འཐུང་ནི་,ཀ་ནི་ཚུ་,b
hsc-chemistry-12-66,འ་ནི་འོག་གི་གློག་ཤུགས་ཉུང་ཤོས་འདི་ ཇི་ཨའི་རིའོཊི་ག་ལུ་སྤྱོད་ནི་ཨིན་ན?,HClO_{4}>H_{2}SO_{3}>HNO_{3}>H_{3}PO_{4} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,HClO_{4}>HNO_{3}>H_{3}PO_{4}>H_{2}SO_{3} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,HClO_{4}>H_{3}PO_{4}>HNO_{3}>H_{2}SO_{3} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,HClO_{4}>H_{2}SO_{3}>H_{3}PO_{4}>HNO_{3} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,b
hsc-chemistry-12-67,མར་ཁུའི་རྫས་འདི་ནང་ལུ་ ག་འདི་ཡོདཔ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
