identity,question,a,b,c,d,correct _answer
hsc-chemistry-12-221,ག་འདི་ཤུགས་ཅན་ཅིག་ཨིན་ན?,ན་ཨོ་ཨའེ་,ཀོ་ཧཱ,CsOH,RbOH,c
hsc-chemistry-12-222,Na_{2}CO_{3}་གི་ 3.5% གྲུབ་འབྲས་ནང་ལུ་ pHདེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,13.8,12.7,11.5,10.5,a
hsc-chemistry-12-223,A_{2}+B_{2}\rightleftharpoons AB;; K_{p}གི་གནས་གོང་འདི་ ༥.༦ ཨིན་པ་ཅིན་ K_{c}གི་གནས་གོང་འདི་ ༢༥^{\circ}C གི་གནས་གོང་དང་ ཤུགས་ཚད་ ༡.༥ atm གི་གནས་གོང་ལུ་ཨིནམ་ད་,7.5,5.6,3.6,2.8,b
hsc-chemistry-12-224,SO_{3} འདི་ག་ཅི་བཟུམ་ཅིག་གི་ ཨེཀསི་ཌིསི་ཨིན་ན?,དྭངས་འཕྲོས་འཕྲོས་ཀྱི་ ཨོ་ཁེ་སིཊ་,ལྕངམ་གི་ཁུ་བ་ལུ་ཡོད་པའི་ཁུ་བ་འདི་ ཚ་དྲོད་ཅན་ཅིག་ཨིན་མས།,Amphibole Oxide འདི་ཡང་ ནད་རྟགས་ངོ་མ་ཅིག་ཨིན་མས།,ནེ་ཊར་ལིག་ཨོསི་ཌིསི་,a
hsc-chemistry-12-225,འོག་གི་རྒྱུ་རྫས་ཚུ་ནང་ལས་ ག་དེ་ཅིག་ལུ་ ཨལ་ཀ་ལེར་གི་པེ་ཊ་སི་ཡཱམ་ཊེཊ་ཨོ་ཌོ་ མེར་ཀུ་རི་ཐཱསི་གིས་ ངོས་འཛིན་འབདཝ་ཨིན་ན?,ཨཱལ་^{3+} འདི་ཡང་,ཀུ་^{2+},NH_{4}^{+} འདི་ཡང་,ཀུ་_{3}^{2-},c
hsc-chemistry-12-227,i. ཐོན་སྐྱེད་འདི་ མེ་རླུང་ཅིག་ཨིན་པ་ཅིན་,2,3,4,5,d
hsc-chemistry-12-228,༢། བཟོ་སྐྲུན་གྱི་ལཱ་ཚུ་ ལེགས་ཤོམ་འགྱོ་མ་ཚུགས་པ་ཅིན་,N_{2}O_{4}\rightleftharpoons 2NO_{2} དེ་ནང་ལུ་ ཚིག་ཡིག་གི་མཐའ་མ་འདི་,2NH_{3}\rightleftharpoons N_{2}+3H_{2} འདི་ཡང་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་,2NO + O_{2}\rightleftharpoons 2NO_{2} འདི་ཡང་ ཕྲང་ཨིན་,N_{2}+3H_{2}\rightleftharpoons 2NH_{3}ལུ་ བསྒྱུར་བཅོས་འབད་ཡོདཔ་ཨིན་,c
hsc-chemistry-12-229,གསུམ་པ་ གྲུབ་འབྲས་འདི་ བརྟག་དཔྱད་འབད་མ་ཚར་བར་རང་ འཐོན་འགྱོ་མི་ཅ་ཆས་ཚུ་ བརྟག་དཔྱད་འབད་ཚར་ཞིནམ་ལས་ བཏོན་བཏངམ་ཨིན།,བི་ཊ་ཀེ་རོ་ཊིན་ཟེར་མི་འདི་ཨིན།,ཁུ་བ་ཚ་ཏོམ་,BHT,BHA,a
hsc-chemistry-12-230,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,K_{p} > K_{c} འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་,ཀ_{p} = ཀ_{c},K_{p} < K_{c} འདི་ ཀྲོང་གསར་ལུ་ཆགས་ཏེ་ཡོདཔ་ཨིན།,K_{p} \neq K_{c} དེ་ནང་ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,b
hsc-chemistry-12-231,ལི་ཊར་རེ་ལུ་ ཆུ་ནང་ཤེལ་ཀྲར་༠.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༡༥ དང་ ༡.༧ ཚུ་ནང་ཤེལ་ཀྲར་ ༡.༧,༡༠༩^{\circ} འདི་ཡང་,༡༠༧^{\circ},༩༢^{\circ} འདི་ཡང་,༧༢^{\circ},c
hsc-chemistry-12-232,ཉི་མའི་དཔེ་ཚད་འདི་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,ནུས་ཤུགས་འདི་ ནུས་ལྡན་གློག་ཤུགས་ཡོད་པའི་ ཀེར་ཐིག་ནང་ལུ་ཡོདཔ་ཨིན།,ཨཱལ་ཕ་རྡུལ་ཕྲན་ལུ་ཤུགས་ཚད་འདི་ མཐོ་ཤོས་ཅིག་ཨིན་ཟེར་སླབ་ཨིན།,ཨཱལ་ཕ་རྡུལ་འདི་ ཤུགས་ཉུང་དྲགས་སྦེ་རང་ འགྱུར་བ་འགྱོ་དོ་ཡོདཔ་ཨིན།,རྡུལ་ཕྲན་ནང་ལུ་ ས་སྒོ་མང་ཤོས་ཅིག་རང་ ཕྱགས་སྙིགས་ཨིན།,d
hsc-chemistry-12-233,XeF_{2}གི་ལྟེ་བ་འདི་ནང་ལུ་ electron གཉིས་ཆ་མེད་སྦེ་ཡོདཔ་ཨིན།,0,1,2,3,d
hsc-chemistry-12-234,ཤུགས་གནས་ཚད་ནང་ལུ་ ཙི་ཙི་འཁོར་གྱི་གྱངས་ཁ་རྩིས་ཞིབ་འབད་ནིའི་ཐབས་ལམ།,ཁྲག་ཤུགས་མར་བབས་སོང་ཡོདཔ།,ཁྲག་ཤུགས་དང་ ཁྲག་ཤུགས་ཀྱི་རྒྱ་སྐྱེད་,གཟུགས་ཀྱི་ཡན་ལག་ཚུ་ སོར་བཅོས་འབད་དོ་ཡོདཔ་ཨིན།,གཟུགས་ཀྱི་དྲོད་ཚད་མར་བབས་སོང་ཡོདཔ།,b
hsc-chemistry-12-235,N_{2}+3H_{2}\rightleftharpoons 2NH_{3} འདི་ K_{p} སྦེ་ ཆ་མཉམ་ཨིན་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-236,CH_{3}COOH+H_{2}O\rightleftharpoons CH_{3}COO^{-}+H_{3}O^{+} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ ,༡.༡ \times ༡༠^{-༠} འདི་ ༡.༡ \times ༡༠^{-༠} ཨིན།,༡.༡ \times ༡༠^{-༡༢} འདི་ ༡.༡ \times ༡༠^{-༡༢} ཨིན།,2.1 \times 10^{-13} འདི་ ༡.༡ གི་གནས་གོང་ཨིན།,༢.༡ \times ༡༠^{-15} འདི་ ༡.༡ གི་གནས་གོང་ཨིན།,b
hsc-chemistry-12-237,ཕྲ་རྡུལ་ལུ་ཕྲ་རྡུལ་གི་ ཕྲ་རྡུལ་འདི་ག་ཏེ་ལུ་ཡོདཔ་སྨོ་ཟེར་,Rutherfurd གིས་ བཟོ་རྣམ་འདི་,བོ་རའི ་ ཨོཊ་མིཀ་དཔེ་ཚད་,ཐོམ་སོན་གྱི་གློག་རྡུལ་དཔེ་ཚད་,ཌཱལ་ཊཱོན་གི་གློག་རྡུལ་དཔེ་གཞི་,a
hsc-chemistry-12-238,CH_{3}COOH+H_{2}O\rightleftharpoons CH_{3}COO^{-}+H_{3}O^{+} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ ,4,3,2,1,b
hsc-chemistry-12-239,K_{a}ལུ་གནས་གོང་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༢ (༢n+༡),༢n+༡,༢n^{2} འདི་ ༢n^{2} ཨིན།,n^{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-chemistry-12-240,ཚར་གཅིག་ཁུ་བ་གིས་ བཟའ་འཐུང་ཚུ་ སྲུང་ཚུགས་པས་,atm^{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,atm,atm^{-1} འདི་ཡང་,atm^{-2}ལུ་ བསྒྱུར་འབདཝ་ཨིན།,d
hsc-chemistry-12-241,i. བཟའ་འཐུང་ཚུ་ ནད་འབུབ་ཐོབ་ནི་ལས་ བཀག་ཐབས་འབད་ནི།,CH_{3}COOH འདི་ཡང་,H_{2}O དེ་ནང་ལུ་,CH_{3}COO^{-} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,H_{3}O^{+} འདི་ལུ་བལྟ་བ་ཅིན་,c
hsc-chemistry-12-242,༢། བཟའ་འཐུང་གི་ pH མར་ཕབ་འབད་ཐོག་ལས་,0.00001,0.0001,0.001,0.1,a
hsc-chemistry-12-243,གསུམ་པ་ བཟའ་འཐུང་གི་ནད་འབུབ་དང་ ཟ་མ་བཏུབ་པའི་དུག་འབུབ་ཚུ་ལུ་ བཀྲམ་སྤེལ་འབདཝ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-chemistry-12-244,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,13.3,10.778,3.22,0.6989,b
hsc-chemistry-12-245,k_{a}=1.8\times 10^{-6}འདི་ HA ཨིནམ་ལས་ pOH འདི་ 0.2M HA ཨིན་ན།,ཀི་ལོ་མི་ཊར་,ཨོ་,ནི།,F,d
hsc-chemistry-12-246,ག་འདི་ཤུགས་ཆེ་བའི་ ནུས་མེད་ཆ་མེད་གྲུབ་པའི་ ཀླད་ཀོར་ཅིག་ཨིན།,ཧེ་^{+},H^{-} འདི་ཡང་,ཧེ་^{2+}ལུ་,H^{+} འདི་ཡང་,a
hsc-chemistry-12-247,Bohr གི་གློག་རྡུལ་དཔེ་ཚད་འདི་ ག་གི་གློག་རྡུལ་ཚུ་ གསལ་སྟོན་འབད་ཚུགས་ག?,"༡,༡,༠ +\frac{1}{2} འདི་ཚུ་","1, 0, 0, -\frac{1}{2} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་","1, 0, 1, +\frac{1}{2} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་","༡,༡,༠ -\frac{1}{2} དེ་ཚུ་ཨིན་ཅི་མིན་ཅི་",a
hsc-chemistry-12-248,ཨེལོཊརོནཊི་གཅིག་གི་དོན་ལུ་ ཀཝཱནཊ་ཨང་གི་གོ་རིམ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,100,75,50,25,c
hsc-chemistry-12-249,ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་ ཚ་དྲོད་གནས་སྟངས་ནང་,སི་གམཱལ་ མཐུད་སྦྲེལ་,པི་གི་ཕྲ་རིང་,ཧའི་ཌོ་ཇེན་ལྕགས་རིགས་,Ionic bond ཚུ་,c
hsc-chemistry-12-250,མཐུད་སྦྲེལ་ག་ཅི་འདི་ ཉམ་ཆུང་ཤོས་ཅིག་ཨིན་ན?,[M^{2+}]\times [X^{-}]^{2} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,[M^2+}]^{2}\times [X^{-}] འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,[M^{2+}]\times [X^{-2}] འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,[M^{2+}]\times [X^{-2}]^{2} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,a
hsc-chemistry-12-251,MX_{2}གི་ འགྱུར་ལྡོག་གི་གྱངས་ཁ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,NaHCO_{3}+H_{2}CO_{3} ཚུ་དང་འཕྱདཔ་ད་,CH_{3}COONa+CH_{3}COOH ཚུར་ཐིག་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་,NH_{4}Cl+NH_{4}OH འདི་ཡང་,H-COOH + HCOONa འདི་ཡང་ H-COOH + HCOONa འདི་ཡང་,a
hsc-chemistry-12-252,མི་གི་ཁྲག་ནང་ལུ་ སྲ་སྐྱོབ་སྨན་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,2,3,4,6,c
hsc-chemistry-12-253,Fe^{2+}འདི་ནང་ལུ་ ཨེཀཊོརནཊི་གི་རིམ་པ་སོ་སོ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,Na^{+} འདི་ལུ་,NH_{4}^{+} འདི་ཡང་,ཀ་^{2+},Zn^{2+} འདི་ཡང་,d
hsc-chemistry-12-254,K_{4}[Fe(CN) _{6}] གི་ཧོངས་ལས་ ག་དེ་ཅིག་ངོས་འཛིན་འབདཝ་ཨིན་ན?,A_{2}+B_{2}\rightleftharpoons 2AB གིས་ བསྡུ་ལེན་འབད་ཡོད་པའི་ཨང་གྲངས་ཚུ་,A_{2}+3B_{2}\rightleftharpoons 2AB_{3} འདི་ཡང་ སྦ་སྒོར་ནང་ཡོད་པའི་ སྦ་སྒོར་ནང་ཡོད་པའི་ སྦ་སྒོར་ནང་ཡོད་པའི་ སྦ་སྒོར་ནང་ཡོད་པའི་,C+2D\rightleftharpoons A འདི་ ཀེར་ཐིག་གཉིས་དང་སྦྲགས་ཏེ་ཡོདཔ་ཨིན།,C+D\rightleftharpoons 3A འདི་ ཀེར་ཐིག་ ༣་་གི་མཐའ་མ་ཨིན།,a
hsc-chemistry-12-255,K_{p}=K_{c} ཟེར་མི་འདི་ལས་ ག་ཅི་བཟུམ་ཅིག་འབྱུང་ནི་ཨིན་ན?,༡༠༩.༥^{\circ}ལུ་ཡོདཔ་ཨིན།,༡༠༧^{\circ},༡༠༥^{\circ} འདི་ལུ་,༩༨^{\circ} འདི་ཡང་ བརྒྱ་ཆ་ ༩༨^{\circ},b
hsc-chemistry-12-256,NH_{3}ལུ་ ཟུར་ཐིག་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,0.1-10 nm གི་བར་ན་,༡༠-༢༨༠ nm,༣༨༠ལས་༧༨༠ nm,780-10^{6} nmལུ་,c
hsc-chemistry-12-257,མཐོང་ཚུགས་པའི་ས་སྒོ་ནང་ འོད་ཟེར་གི་འུར་སྒྲའི་རིང་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,23,24,25,26,d
hsc-chemistry-12-258,M^{3+}ལུ་ ཨེཆ་ཊོན ༢༣ ཡོད་པ་ཅིན་ ཨེཆ་ཊོན M གི་ ཨེཆ་ཊོན གྱངས་ཁ་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,TiCl_{4} འདི་ཡང་,MnO_{2} འདི་ཡང་,ScCl_{3} དེ་ནང་ལུ་,ZnSO_{4} འདི་ཡང་,b
hsc-chemistry-12-259,ཚོས་གཞི་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,\alpha =\sqrt{\frac{K_{c}}{C}} ཕྲ་རིང་གི་མཐའ་མཚམས་འདི་ ཕྲ་རིང་གི་མཐའ་མཚམས་འདི་ཨིན།,\alpha =\sqrt{\frac{C}{K_{a}}} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,\alpha = \sqrt{\frac{1}{K_{4}}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན་པི་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་,\alpha = \frac{1}{\sqrt{C}} ཕྲ་རིང་གི་མཐའ་མ་དེ་ ཕྲ་རིང་གི་མཐའ་མ་དེ་ཨིན།,a
hsc-chemistry-12-260,ཨོ་སི་ཝཱལ་ཌི་གི་རྩིས་རིག་གི་གསལ་བཤད་འདི་ ག་ཅི་ལུ་གཞི་བསྒྱུར་འབདཝ་ཨིན་ན?,6%,15%,70%,90%,d
hsc-chemistry-12-261,ཨེ་མ་ཧོནམོ་ནང་ ཆུ་བརྒྱ་ཆ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,༠.༠༠༠༠༤m,0.00004cm,0.0004mm,༠.༠༠༤སི་མི་ཊར་,b
hsc-chemistry-12-262,རད་ཕོརཌ་གི་ ཨཱལ་ཕ་བེ་ཊར་བེ་ཊར་བཀྲམ་སྤེལ་གྱི་ བརྟག་དཔྱད་ནང་ གསེར་གྱི་རྡུལ་འདི་ག་དེམ་ཅིག་ སྦོམ་ཡོདཔ་ཨིན་ན?,Zn,Fe,ཀུ་,Pb,c
hsc-chemistry-12-263,འ་ནི་ནང་ལས་ ག་འདི་ནང་ལུ་ ཨེལོཊརོནསི་གི་རིམ་པ་མ་འདྲཝ་ཡོདཔ་ཨིན་ན?,བི་^{2+}ལུ་,Mg^{2+} འདི་ཡང་,ཀ་^{2+},Ba^{2+} འདི་ལུ་,a
hsc-chemistry-12-264,ཕྱོགས་གཉིས་ཀྱི་ཆོས་ལུགས་འདི་ ག་འདི་ནང་ལུ་མང་ཤོས་ར་ཡོདཔ་ཨིན་ན?,30 mL 0.1M NH_{4}OH + 20mL 0.2M HCl,40mL 0.2M CH_{3}COOH + 30mL 0.3M NaOH,50mL 0.1M NaOH + 40mL 0.2M H_{2}CO_{3},60mL 0.1M NaOH + 70mL 0.2M HCL,c
hsc-chemistry-12-265,འོག་གི་རྒྱུ་རྫས་འདི་ག་འདི་ཨིན་ན།,སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་,སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་,སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་,སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་ སྦ་སྒོར་འདི་ནང་ལུ་,a
hsc-chemistry-12-266,ཨི་ཟོཊོ་པི་གི་དཔེ་འདི་ག་ཅི་སྨོ་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-268,i. SO_{2} གིས་ནུས་པ་མར་ཕབ་འབདཝ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-269,༢། k_{c} གིས་ གནས་གོང་མར་ཕབ་འབདཝ་ཨིན།,༤ ཚུན་,༤་པི་,༤d,༤་ཨེཕ་,d
hsc-chemistry-12-270,གསུམ་པ་ གྲུབ་འབྲས་འདི་ རྒྱབ་བཤུད་རྐྱབ་ཨིན།,ཁུ་རུ་རའི་མར་ཁུ་,དྲོ་མཛར་,ཟ་ནི་གི་ཚྭ་,ཁུ་བ་ཚ་ཏོམ་,c
hsc-chemistry-12-271,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཐེངས་༢༠,ལྔ་བཅུ་གི་རྩིས་ཨིན།,ཐེངས་ ༡༠༠,སྟོང་ཕྲག་གི་གྱངས་ཁ་ཨིན།,d
hsc-chemistry-12-272,ཀཝཱནཊ་ཨང་གི་གནས་གོང་ n = 4 དང་ I = 3 ཨིན་པ་ཅིན་ ཨོར་བེ་ཊལ་འདི་,"CaCl_{2},CH_{3}Cl","H_{2}S, HCl",C_{2}H_{6}གིས་ HCl,"NaCl,C_{6}H_{5}Cl འདི་ཡང་ ཌི་ཨེམ་སི་ཊི་བི་གི་ཨེ་རེ་ཨིན་ཨིན་ཨིན་",b
hsc-chemistry-12-273,སྲུང་སྐྱོབ་འབད་ནིའི་ཐབས་ལམ་དེ་ བཟའ་འཐུང་གི་རིགས་ཚུ་ སྲུང་སྐྱོབ་འབད་ནིའི་ཐབས་ལམ་དེ་ཨིནམ་ད་ འདི་ཚུ་གི་གྲལ་ལས་ ག་འདི་ལུ་བརྟེན་ཏེ་ སྲུང་སྐྱོབ་འབད་ཚུགས་ནི་ཨིན་ན?,H_{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,HNO_{3} འདི་ལུ་,HClO_{4} འདི་ཡང་,H_{3}PO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,d
hsc-chemistry-12-274,ཨེསི་ཌི་ཨའི་ཌི་གི་གནས་ཚད་དེ་ ཨེསི་ཌི་ཨའི་ཌི་ ༣.༠ དང་ ༦.༠ ཨིནམ་ད་ ཨེསི་ཌི་ཨའི་ཌི་ཨའི་ཌི་གི་གནས་ཚད་དེ་ ཨེསི་ཌི་ཨའི་ཌི་ཨའི་ཌི་ལས་ ཚར་ག་དེ་ཅིག་མང་ནི་ཨིན་ན?,16,15,14,11,a
hsc-chemistry-12-275,འོག་གི་གྲལ་ལས་ ག་འདི་ནང་ལུ་ འདྲ་མཉམ་ཨའི་ཨོནསི་གི་གྲུབ་འབྲས་ཡོདཔ་ཨིན་ན?,10,12,14,16,b
hsc-chemistry-12-276,ག་འདི་ཤུགས་མེད་པའི་ཨསིཌ་ཨིན་ན།,3.4 \times 10^{-14} འདི་ ༡༠ ལུ་ཡར་འཕར་འབདཝ་ཨིན།,4.3 \times 10^{-14} འདི་ལུ་གཞི་བསྟུན་འབད་འོང་།,3.4 \times 10^{-13} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,4.3 \times 10^{-13} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,b
hsc-chemistry-12-277,དེད་གཡོགཔ་གི་སྡེ་ཚན་འདི་ག་སྨོ་,atm,atm^{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,atm^{-1} འདི་ཡང་,atm^{-2}ལུ་ བསྒྱུར་འབདཝ་ཨིན།,d
hsc-chemistry-12-278,དྭངས་འཕྲོས་འཕྲོས་བཟོ་རིག་གི་ གཞི་རྩ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,AgCl,AgNO_{3} འདི་ཡང་,ལྡོག་ཕྱོགས་འགོ་ཁྲིདཔ་ཅིག་ཨིན་མི་ ...,BaSO_{4} འདི་ལུ་,c
hsc-chemistry-12-279,AlF_{3} འདི་ 0.0002 mol/L ཨིན་པ་ཅིན་ ཚུལ་ལྡན་གྱི་གྱངས་ཁ་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,NH_{3} འདི་ཡང་,H_{2}O དེ་ནང་ལུ་,NH_{4}^{+} འདི་ཡང་,H_{3}O^{+} འདི་ལུ་བལྟ་བ་ཅིན་,b
