identity,question,a,b,c,d,correct _answer
hsc-chemistry-12-280,N_{2}(g) +3H_{2}(g) \rightleftharpoons 2NH_{3}(g); སླར་ལོག་འབད་ནིའི་ K_{p}གི་ཆ་ཤས་འདི་ག་འདི་ཨིན་ན?,ན,Mg,Si,S,a
hsc-chemistry-12-281,སཱལཕ་ཊི་ཨའོན་ (SO_{4}^{2-}) འདི་ ནད་གཞི་འདི་ ངོས་འཛིན་འབད་ནིའི་དོན་ལུ་ ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-282,ག་འདི་ནང་ལུ་ པི་རེལཊོནཌ་གི་གློག་ཤུགས་ཤུགས་སྦོམ་ཡོདཔ་ཨིན་ན?,Co,Ti,ཀུ་,Zn,a
hsc-chemistry-12-283,ཀླུ་གཟུགས་ཀྱི་དཀྱིལ་འཁོར་སྦོམ་ཤོས་འདི་ག་འདི་ཨིན་ན?,1-2%,2-4%,4-6%,6-10%,d
hsc-chemistry-12-285,ག་ནི་བ་ རླུང་ཤུགས་ཅན་ཅིག་ཨིན་ན།,H_{2} འདི་ལུ་,N_{2} འདི་ཚུ་,F_{2} འདི་ལུ་,Xe,d
hsc-chemistry-12-286,ས་གཞི་འདི་ སྐྱེ་ལྡན་ལྡན་ལྡན་སྦེ་གནས་དགོ་པ་ཅིན་ pH ཚད་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,3.0-4,སྤྱི་ཟླ་༦ པ་ལུ་,སྤྱི་ཟླ་༨ པའི་ཚེས་༨,11-Oct,c
hsc-chemistry-12-287,NH_{4}^{+} གི་བཟོ་རྣམ་དེ་ག་ཅི་བཟུམ་ཅིག་ཨིན་ན?,ཟུར་བརྒྱད་འབད་མི་,པི་རཱམ་ཌི་ཡཱན་གཉིས་ལྡན་,ཟུར་བཞི་འབད་མི་,པི་རཱེམ་ཌི་ཡཱན་,c
hsc-chemistry-12-288,NH_{4}OH་གི་མར་ཁུ་ ༡.༠་མོ་ལཱར་གྱི་ཧྲིལ་བུམ་ལུ་ བརྒྱ་ཆ་ ༡.༣༤་དེ་ཅིག་རང་ཉམས་འགྱོ་འོང་། K_{B} འདི་ག་བཟུམ་ཅིག་ཨིན་ན?,༡.༦༥༩ \times ༡༠^{-4} འདི་ ༡.༦༥༩ \times ༡༠^{-4} ཨིན།,1.975\times 10^{-6} འདི་ཡང་ སྦྲེལ་རྟགས་འདི་ཨིན།,1.565\times 10^{-6} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,༡.༧༩༥ \times ༡༠^{-4} འདི་ ༡.༧༩༥ \times ༡༠^{-4} ཨིན།,d
hsc-chemistry-12-289,ཀཝཱནཊ་ཨང་ག་འདི་ ཨོ་ཊོམ་ནང་ལུ་ ཚོད་ལྟ་འབད་ནི་གི་དོན་ལས་ཨིན།,མགོན་པོ་གི་ཀཝཱནཊ་ཨང་ཚུ་,གྲོགས་རམ་གི་ཀཝཱནཊ་ཨང་ཚུ་,མེན་ཊི་ཀཱོན་ཏམ་གི་གྱངས་ཁ་,ཨང་གྲངས་ཨང་གྲངས་ ཨང་གྲངས་ ཨང་གྲངས་ ཨང་གྲངས་ ཨང་གྲངས་ ཨང་གྲངས་,b
hsc-chemistry-12-290,N_{2}O_{4} དང་ NO_{2} ཚུ་མཉམ་སྦྲགས་འབད་ཞིནམ་ལས་ 25^{\circ}C གི་གནས་སྟངས་ནང་ ཤུགས་ཚད་ཆ་ཤས་ཀྱི་ཤུགས་འདི་ སྐར་མ་ ༦༩ དང་སྐར་མ་ ༣༡ ཨིན་པས། K_{p}གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༠.༣༤༩ atm,༠.༢༤༩ ཨེཊ་མིཊར་,༠.༤༤༩ atm,༠.༡༣༩ ཨེཊ་མིཊར་,d
hsc-chemistry-12-291,l = 2 ཨིན་པ་ཅིན་ ཕྲང་རྟགས་འདི་ག་དེ་ཡོདཔ་ཨིན་ན?,s-substring གིས་འབད་ཡོདཔ་ཨིན།,p-substrate ཚུ་,d-sublayer,f-substrate འདི་,c
hsc-chemistry-12-292,ཙི་ཙི་མཐའ་འཁོར་གྱི་ཤུགས་ཀྱི་རིམ་པ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,3s < 3d < 4p,3d < 3s < 4p,4p < 3s < 3d,3s < 4p < 3d,a
hsc-chemistry-12-293,གློག་ཤུགས་འདི་ ཀུ་ལུམ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,1.6 \times 10^{-20} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,1.6 \times 10^{-19} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,4.8\times 10^{-10} འདི་ལུ་བལྟ་བ་ཅིན་,4.8\times 10^{-9} འདི་ལུ་བལྟ་བ་ཅིན་,b
hsc-chemistry-12-294,ཀུ་༡༩པ་ ཨེལ་ཀོརཊོནཌི་འདི་ ཇི་ཨོ་ཨར་བི་ཊཱལ་ག་ཏེ་ལུ་འགྱོ་དོ་ཡོདཔ་ཨིན་ན?,༣s,༤ ཚུན་,༣d,༣p,b
hsc-chemistry-12-295,མི་གི་ཁྲག་གི་ pHའདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,8.4,7.4,6.4,5.4,b
hsc-chemistry-12-296,ག་འདི་ནང་ལུ་ པི་རེལཊོནཌ་གི་གློག་ཤུགས་ཤུགས་སྦོམ་ཡོདཔ་ཨིན་ན?,NH_{3} འདི་ཡང་,H_{2}O དེ་ནང་ལུ་,NH_{4}^{+} འདི་ཡང་,H_{3}O^{+} འདི་ལུ་བལྟ་བ་ཅིན་,b
hsc-chemistry-12-297,d ཕྱོགས་ལུ་ ཙི་ཙི་འཁོར་ལོའི་གྱངས་ཁ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,1,3,5,7,c
hsc-chemistry-12-298,ག་འདི་ཤུགས་ཆེ་ཤོས་ཨིན་ན?,H_{2}CO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,HNO_{3} འདི་ལུ་,H_{2}SO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,HClO_{4} འདི་ཡང་,d
hsc-chemistry-12-299,འོད་ཟེར་འདི་ གནམ་ཁའི་འོད་ཟེར་ལས་ ཆུང་ཤོས་ཅིག་ཨིན་ན།,དཀར་ཆག་,དཀར་ཆག་,དམར་ཁུ་,དམར་པོ་,a
hsc-chemistry-12-300,Glucose ལས་ Ethanol བཟོ་ནིའི་དོན་ལུ་ ཨེན་ཇེམ་ག་འདི་ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན་ན?,མཆིན་པའི་ནད་,མལ་ཏེཇ་,ཇའི་མཱེཇ་,དབྱེ་བ་ཕྱེ་ནི་,c
hsc-chemistry-12-301,ཨེསི་ཌི་ཨའི་ཌི་གི་གནས་ཚད་དེ་ ༣.༠ དང་ ༦.༠ ཨིན་པ་ཅིན་ ཨེསི་ཌི་ཨའི་ཌི་གི་གནས་ཚད་འདི་ ཨེསི་ཌི་ཨའི་ཌི་གི་གནས་ཚད་ལས་ ཚར་ག་དེ་མང་བ་འོང་ནི་ཨིན་ན?,ཐེངས་༢༠,ལྔ་བཅུ་གི་གྱངས་ཁ་,ཐེངས་ ༡༠༠,སྟོང་ཕྲག་གི་གྱངས་ཁ་,d
hsc-chemistry-12-302,AlF_{3} འདི་ 0.0002 mol/L ཨིན་པ་ཅིན་ ཚུལ་ལྡན་གྱི་གྱངས་ཁ་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,3.4 \times 10^{-14} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,4.3 \times 10^{-14} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,3.4 \times 10^{-13} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,4.3 \times 10^{-13} འདི་ལུ་གཞི་བསྟུན་འབདཝ་ཨིན།,b
hsc-chemistry-12-303,ག་འདི་ཤུགས་ཅན་ཅིག་ཨིན་ན?,HF,HCI,HBr,ངོས་ལེན་འབད་ཡོདཔ་:,d
hsc-chemistry-12-304,ཟ་ཆས་ཚུ་ བཞེས་སྒོ་ལེགས་ཤོམ་སྦེ་ འབད་མི་ཚུགས་པ་ཅིན་ དྲོ་པ་ཧ་སག་སྟེ་ བཞེས་སྒོ་ལེགས་ཤོམ་སྦེ་ བཞེས་སྒོ་འབད་ཚུགས་པའི་ ཁེ་ཕན་འདུག་ཟེར་ཨིན་པས།,ཁུ་རུ་རའི་མར་ཁུ་,དྲོ་མཛར་,ཟ་ནི་གི་ཚྭ་,ཁུ་བ་ཚ་ཏོམ་,c
hsc-chemistry-12-306,i. རྡུལ་ཕྲན་ཚུ་ནང་ ཧའི་ཌོ་ཇེན་གི་ཕྲ་མཐུད་མེདཔ་ཨིན།,23,24,25,26,d
hsc-chemistry-12-307,༢། སཱལ་ཕ་ར་ལུ་ ཌའི་ལོག་ཨེལ་ཀཊོརནསི་གཉིས་ཡོདཔ་ཨིན།,30mL 0.1M NH_{4}OH+20 mL 0.3M HCl,40mL 0.2M CH_{3}COOH+30 mL 0.3M NaOH,50 mL 0.1M NaOH + 40 mL 0.2M H_{2}CO_{3},60mL 0.1M NaOH + 70mL 0.2M HCl,c
hsc-chemistry-12-308,གསུམ་པ་ ཟུར་ཐིག་འདི་ ༡༨༠^{\circ} ལས་ཆུང་བ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-309,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,100,75,50,25,c
hsc-chemistry-12-310,25^{\circ} འདི་རང་དྲོད་གནས་འདི་ནང་ 150gགི་ཁུ་སིམ་སི་གནས་སོར་ནང་ 50gགི་ཁུ་སིམ་སི་གནས་སོར་འདི་བཞུར་བ་ཅིན་ འདི་གི་ཁུ་སིམ་སི་གནས་སོར་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་,TiCl_{4} འདི་ཡང་,MnO_{2} འདི་ཡང་,ScCl_{3} དེ་ནང་ལུ་,ZnSO_{4} འདི་ཡང་,b
hsc-chemistry-12-311,དྭངས་འཕྲོས་འཕྲོས་ཀྱི་རིགས་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,༤ ཚུན་,༤་པི་,༤d,༤་ཨེཕ་,d
hsc-chemistry-12-312,ཀཝཱནཊ་ཨང་གི་གནས་གོང་ n = 4 དང་ I = 3 ཨིན་པ་ཅིན་ ཨོར་བེ་ཊཱལ་དེ་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-314,i.l = ༡ ཨིན་པས།,Zn,Fe,ཀུ་,Pb,c
hsc-chemistry-12-315,"i. m = +༡, ༠, -༡",11,12,16,17,a
hsc-chemistry-12-316,གསུམ་པ་ གྱངས་ཁ་གསུམ་,atm,atm^{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,atm^{-1} འདི་ཡང་,atm^{-2}ལུ་ བསྒྱུར་འབདཝ་ཨིན།,d
hsc-chemistry-12-317,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་,ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ ཕྲ་རིང་གི་ཕྲ་རིང་དེ་གི་ ཕྲ་རིང་དེ་གི་ ཕྲ་རིང་དེ་གི་,ཌའི་ལོག་གི་ཨེབ་གཏང་ཚུ་ ཌའི་ལོག་གི་ཨེབ་གཏང་ཚུ་ ཌའི་ལོག་གི་ཨེབ་གཏང་ཚུ་ ཌའི་ལོག་གི་ཨེབ་གཏང་ཚུ་,ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,a
hsc-chemistry-12-318,ལྕགས་རིགས་འདི་ག་ཅི་བཟུམ་ཅིག་ཨིན་ན?,2,3,4,5,b
hsc-chemistry-12-319,BeCl_{2} གི་ རྡུལ་ཕྲན་གི་བཟོ་རྣམ་དེ་ ག་དེ་སྦེ་ཡོདཔ་ཨིན་ན?,ཀུ་^{2+},NH_{4}^{+} འདི་ཡང་,ནི^{+},ཨཱལ་^{3+} འདི་ཡང་,a
hsc-chemistry-12-320,NaCl ཇི་རམ་༡༥འདི་ ཁང་མིག་གི་ཚ་དྲོད་ལུ་ 60g་གི་ཁུ་བ་ཡོད་པའི་ ཚ་དྲོད་ཅན་མར་ཁུ་ནང་རླངས་གཏང་པ་ཅིན་ ཚ་དྲོད་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,sp,sp^{2} འདི་ལུ་,sp^{3} འདི་ལུ་,sp^{3}d འདི་ཡང་,c
hsc-chemistry-12-321,NH_{4}^{+} ནང་ལུ་ སྦྲེལ་གྱི་ཟུར་ཚད་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,10,12,14,16,b
hsc-chemistry-12-322,ཆུ་ནང་ཡོད་པའི་རྫས་ག་འདི་ གློག་ཤུགས་ཤུགས་ཤུགས་ལྡན་པ་བཟོ་ཚུགས་ནི་ཨིན་ན?,བི་^{2+}ལུ་,Mg^{2+} འདི་ཡང་,ཀ་^{2+},Ba^{2+} འདི་ལུ་,a
hsc-chemistry-12-323,s-block གི་ནང་ ཨེ་ལོམ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,འཁོར་ལམ་,དཀྱིལ་འཁོར་,དཱམ་བཱེལ་,ཌབ་ལཱལ་ཌམ་བཱེལ་,c
hsc-chemistry-12-324,CH_{4}(g)+2O_{2}(g)\rightleftharpoons CO_{2}(g)+2H_{2}O(l) ཚུ་ཨིནམ་ད་ འདྲ་མཉམ་གྱི་གནས་སྟངས་འདི་ ག་ལུ་རན་དོ་ཡོདཔ་ཨིན་ན་,ལི་མཱན་,གཡས་ཁ་ཐུག་,ནད་གཞི་,མ་དངུལ་,a
hsc-chemistry-12-325,ཚྭ་ག་འདི་ pH > 7?,H^{+} འདི་ཡང་,ཧེ་^{2+}ལུ་,ལི་^{2+} འདི་ལུ་,བི་^{4+},c
hsc-chemistry-12-326,ལྡོག་ཕྱོགས་ཀྱི་རྒྱུ་ལམ་འདི་ཡར་སེང་འགྱོ་བ་ཅིན་,NH_{4}^{+} འདི་ཡང་,Zn^{2+} འདི་ཡང་,ནི^{+},ཀ་^{2+},c
hsc-chemistry-12-327,i. དུས་མཐུན་གྱི་ཁྱད་ཆོས་འདི་ མང་ཤོས་ཅིག་རང་ཡོདཔ་ཨིན།,སྦ་སྒོར་དེ་གི་སྦོམ་ཆུང་འདི་ མར་བབས་སོང་ནུག,དེ་ལས་ ཕྲ་རིང་འདི་ མར་བབས་སོང་ནུག,ནུས་ཤུགས་འདི་ཡར་འཕར་འགྱོ་ནུག,གློག་ཤུགས་ལྟེ་བའི་ཤུགས་འདི་ མར་བབས་སོང་ཡོདཔ་ཨིན།,d
hsc-chemistry-12-328,༢། ཆུའི་ནང་སེལ་མི་བཏུབ་པས།,s-block འདི་ནང་ལུ་,p-block འདི་ནང་ལུ་,d-block འདི་ཚུ་,f-block,b
hsc-chemistry-12-329,གསུམ་པ་ ཚ་དྲོད་མར་ཉམས་འགྱོ་ནི་གི་ཉེན་ཁ་འདི་ ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-330,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ན,ཀ་,ཨཱལ་,Zn,b
hsc-chemistry-12-331,རང་བཞིན་གྱི་ཟས་བཅུད་ཚུ་ ཉེན་སྲུང་འབད་ནིའི་ཐབས་ལམ་འདི་ ག་ཅི་ཨིན་ན་?,ཟུར་བཞི་འབད་མི་,ཟུར་ཐིག་,ཐིག་ཁྲམ་ཕྲ་རིང་,པི་རཱེམ་ཌི་ཡཱན་,c
hsc-chemistry-12-332,རང་དབང་ཅན་གྱི་ཨེལ་ཀོརཊོནཌ་མང་ཤོས་ཅིག་ ག་ལུ་ཡོདཔ་ཨིན་ན?,25,30,33.33,36.36,c
hsc-chemistry-12-334,i. སྲནམ་མཁར་གྱི་ནང་ལུ་ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན།,LiCl,Nacl,CaCl_{2} འདི་ཡང་,CCl_{4} འདི་ཡང་,b
hsc-chemistry-12-335,༢། ཕྲ་རྡོག་གི་ལཱ་འབད་སའི་ས་སྒོ་འདི་ མར་ཕབ་འབདཝ་ཨིན།,6,7,10,14,d
hsc-chemistry-12-336,གསུམ་པ་ ཚོད་བསྲེའི་རིགས་ཚུ་ བཞེས་སྒོ་ལེགས་ཤོམ་སྦེ་བཟོ་མི་ཅིག་ཨིན་མས།,ཚད་གཞི་ལུ་འགྱུར་བ་མེད།,ས་སྒོ་རྒྱ་སྐྱེད་འབད་ཡོདཔ་ཨིན།,གནས་སྟངས་ནང་ ཚབས་ཆེན་འདི་ དབྱེ་བ་ཕྱེ་མི་ཚུགས།,ཕྲང་ལམ་འདི་ ཕྲང་ལམ་གཡས་ཁ་ཐུག་ལུ་འགྱོ།,d
hsc-chemistry-12-337,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,NaCl,CuSO_{4} འདི་ཡང་,Na_{2}CO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,NH_{4}Cl,c
hsc-chemistry-12-338,ཧེ་བཱར་བཱོསི་གི་ཐབས་ལམ་ནང་ལུ་ NH_{3} བཟོ་སྦྱོར་ནང་ལུ་ ཕན་ནུས་ཅན་གྱི་ གྲོགས་རམ་པ་སྦེ་ ལག་ལེན་འཐབ་མི་འདི་ ག་འདི་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-339,ལྡེ་མིག་འདི་ནང་ n གི་གནས་གོང་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,Sodium benzoate འདི་ཡང་ ནད་གཞི་ཐོབ་མི་ ནད་འབུབ་ཅིག་ཨིན་མས།,Sodium Chloride འདི་ ནད་གཞི་གི་རྒྱུ་རྫས་ཨིན།,Sodium methanate འདི་ཡང་ ནད་གཞི་འདི་ལས་ བཀག་ཐབས་འབད་ཚུགས་མི་ ནད་འབུབ་ཨིན།,BHA,b
hsc-chemistry-12-340,འོག་གི་རྒྱུ་རྫས་འདི་ག་འདི་ནང་ལུ་ དར་ཁྱབ་སྦོམ་སྦེ་རང་འགྱོ་དོ་ཡོདཔ་ཨིན་ན?,NH_{3} འདི་ཡང་,H_{2}O དེ་ནང་ལུ་,HCl,H_{2}S གིས་,c
hsc-chemistry-12-341,ཨེས་སིཌ་འདི་ཚུ་གི་གྲས་ལས་ ག་འདི་ཤུགས་ཅན་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-342,AB_{3} ནང་ལུ་ ཚུལ་ལྡན་གྱི་གྱངས་ཁ་འདི་ ༡.༧ \times ༡༠^{-༡༢} ཨིན་པ་ཅིན་ ཚུལ་ལྡན་གྱི་གྱངས་ཁ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,2.3,5.5,7.4,9.5,a
hsc-chemistry-12-343,འ་ནི་ལས་ཀ་འདི་གིས་ བེ་ལུ་མིཊ་ཀཱོཝཱན་ཊ་ ཨང་གྲངས་...,0.5,1,1.5,2,b
hsc-chemistry-12-344,i. གློག་ཤུགས་ཀྱི་འཁོར་ལོའི་ཤེས་ཚད་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-345,ii.m གི་གནས་གོང་འདི་ l ལུ་གཞི་བཞག་སྟེ་ཨིན།,MO,Ee,ནི,V,a
hsc-chemistry-12-346,iii. m = ༠ ལས་ \pm l,2,3,4,5,c
hsc-chemistry-12-347,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,HCl,NaCl,MgCl_{2},BeCl_{2} འདི་ཡང་,d
hsc-chemistry-12-348,CO_{2}ལུ་ཡོད་པའི་ལྟེ་བ་འདི་,HNO_{3} འདི་ལུ་,HClO_{3} འདི་ཡང་,H_{2}SO_{3} འདི་ལུ་བལྟ་བ་ཅིན་,H_{3}PO_{4} འདི་ལུ་བལྟ་བ་ཅིན་,a
hsc-chemistry-12-349,ལྕངམ་གིས་བཟོ་མི་བེ་ལི་གི་བེ་ལི་གི་ཁུ་བ་འདི་ ག་འདི་ཨིན་ན་?,6.3\times 10^{-14} mol L^{-1} འདི་ ཀེར་ཐིག་ ༡་ནང་ལུ་ཡོད་མི་འདི་ཨིན།,6.3\times 10^{-10} mol L^{-1} འདི་ ཀེར་ཐིག་ ༡་གི་མཐའ་མ་ལུ་ཡོདཔ་ཨིན།,2.5\times 10^{-7} mol L^{-1} འདི་ལུ་གཞི་བསྟུན་འབད་ཡོདཔ་ཨིན།,5.0\times 10^{-4} mol L^{-1} འདི་ ཀླད་ཀོར་གྱི་གནས་གོང་ལུ་རྩིས་སྟོནམ་ཨིན།,d
hsc-chemistry-12-350,ཁྲག་བཟུམ་སྦེ་མར་བའི་རྫས་འདི་ ག་འདི་ལུ་སྟོན་ནི་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-352,i. B.P-B.P,སི་ཌར་,སེམས་ཉིད་,མལཏ་,ཨོ་ལ་ཚྭ་,c
hsc-chemistry-12-353,༢། B.P-L.P,Fe(CNS)_{3} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ཨིན།,Fe(CNS)_{2} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ཨིན།,NH_{4}CNS,KCNS,a
hsc-chemistry-12-354,གསུམ་པ་ L.P-L.P,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-355,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཨལ་ཀ་ལེ་རིསི་ K_{2}Hgl_{4},ཀ_{4}[Fe(CN) _{6}] འདི་ཡང་ ཀ_{4}[Fe(CN) > ཀ_{4},K_{2}H_{2}Sb_{2}O_{7} འདི་ཡང་ ཀ་_{2}H_{2} ཨིན།,CaC_{2}O_{4} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,b
hsc-chemistry-12-356,ཚ་དྲོད་ཧྲིལ་བུམ་ནང་ OH^{-} ཨའོན་འདི་ 3.5 \times 10^{-4} ཨིནམ་དང་ འདི་ནང་ལུ་ pH འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-357,ག་འདི་སྦོམ་ཤོས་ཨིན་ན་?,3.55,10.54,12.55,13.54,b
hsc-chemistry-12-358,མཐུད་སྦྲེལ་གྱི་ཟུར་ཁ་ཆུང་ཤོས་དེ་ ག་ལུ་ཡོདཔ་ཨིན་ན?,N^{3-) གིས་འབད་ཡོདཔ་ཨིན།,O^{2-} འདི་ཡང་,F^{-} འདི་ལུ་,ནི^{+},a
hsc-chemistry-12-359,གཟུགས་ཀྱི་འགྱུར་འགྱུར་ནང་ལུ་ བཅའ་མར་གཏོགས་མི་ཐིག་ཁྲམ་འདི་ག་ཅི་ཨིན་ན?,NH_{3} འདི་ཡང་,H_{2}O དེ་ནང་ལུ་,PH_{3} དེ་ནང་ལུ་,BH_{3} འདི་ལུ་བལྟ་བ་ཅིན་,c
hsc-chemistry-12-361,i. K_{p} འདི་ཡང་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b