Question No.,Question,a,b,c,d,Correct Answer
hsc-advanced_chemistry-12-1,STPལུ་ ག་རམ་རེ་ལུ་ ག་རམ་རེ་སྦེ་རྩིས་སྟོནམ་ཨིན། ལི་ དེ་ནང་ལུ་ ལྗིད་ཚད་ཉུང་དྲགས་ཅིག་ཡོདཔ་ཨིན་མེན་ན་?,N₂,O₂,CO₂,NO₂,a
hsc-advanced_chemistry-12-2,Sₙ2 ཚོང་འབྲེལ་གྱི་ཐད་ལུ་ལག་ལེན་འཐབ་ནི་ཨིན་པ་ཅིན་?,i,ii,iii,"i, ii & iii",c
hsc-advanced_chemistry-12-3,འོད་ཤུགས་ལྡན་བཟོ་མི་ ཨལ་ཁོརཊི་ག་འདི་ག་ཅི་ཨིན་ན?,2-Methylbutane-1-ol,2-Methylbutane-2-ol,2-Methylpentane-3-ol,2-Methylpentane-2-ol,a
hsc-advanced_chemistry-12-4,འོག་གི་རྒྱུ་རྫས་ཚུ་ག་འདི་ ཚད་ལྡན་གཉིས་པ་ཨིན་ན།,KMnO₄,K₂Cr₂O₇,Na₂CO₃,Na₂C₂O₄·2H₂O,a
hsc-advanced_chemistry-12-5,ཆུ་ཀེ་ཇི་༡.༨ དེ་ནང་ལུ་ ཧའི་ཌོ་ཇེན་གྱི་ཨ་ཊོམ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,-,-,-,-,-
hsc-advanced_chemistry-12-6,བརྡ་སྟོན་གྱི་སྒོ་ར་སྒོའི་རིགས་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,1,2,3,5,b
hsc-advanced_chemistry-12-7,Pyrrolignose acidནང་ལུ་ ethaneic acidགི་ཆ་ཤས་འདི་?,0.1-0.5%,2-4%,8-10%,30-40%,-
hsc-advanced_chemistry-12-8,ག་ཟའི་སྒོ་ལམ་གྱི་ཁྱབ་ཚད་དེ་ ག་བཟུམ་ཅིག་ཨིན་ན?,"C₂H₆, NO","CH₄, HN₃","NO, CO","CO₂, PH₃",a
hsc-advanced_chemistry-12-9,Br⁻ + BrO₃⁻ + 6H⁺ → Br₂ + 3H₂O; འ་ནི་གོམས་གཤིས་འདི་ནང་ལུ་?,i,ii,iii,"i, ii & iii",b
hsc-advanced_chemistry-12-10,"Pt, H_{2}(g)(1atm)/HCl(1M) \parallel AgNO_{3}(1M)/Ag(s) ཚུ་དང་ཕྱདཔ་ད་ གནམ་གཤིས་གནས་སྟངས་འདི་ 25°C ནང་ལུ་ E°C = -0.80V",ཇི་ཨེམ་ཨེཕ་དེ་,ཇི་ཨེམ་ཨེཕ་དེ་,ཇི་ཨེམ་ཨེཕ་དེ་,ཇི་ཨེམ་ཨེཕ་དེ་,?
hsc-advanced_chemistry-12-12,གྲོས་ཆོད་གི་རྒྱ་ཚད་ གྲོས་ཆོད་དེ་གི་གཞི་རྩ་འདི་ གྲོས་ཆོད་ཀྱི་རྒྱ་ཚད་,?,?,?,?,?
hsc-advanced_chemistry-12-13,གཉིད་ལོག་ནི་གི་སྨན་འདི་ག་ཅི་ཨིན་ན།,formaldehyde,acetaldehyde,paraldehyde,metaldehyde,?
hsc-advanced_chemistry-12-14,ཇི་ཨིས་ཌི་འདི་འཇམ་ཏོང་ཏོ་ཅིག་ཨིན་ན།,HClO_{4},H_{2}SO_{4},HNO_{3},H_{2}CO_{3},?
hsc-advanced_chemistry-12-15,འོག་གི་བརྡ་སྟོན་ཚུ་གི་གྲལ་ལས་ ག་འདི་ངོ་མ་ཨིན་ན?,- COCH_{3},- OCOCH_{3},- NHCOCH_{3},- OCH_{3},?
hsc-advanced_chemistry-12-16,"""ཕེན་ཕེཊ་ཐཱ་ལིན་- i. ཨེསི་ཌི་འདི་ སྣུམ་འཁོར་ནང་ཡོད་པའི་མར་ཁུ་ལུ་བརྟེན་ འགྱུར་བ་འགྱོ་དོ་ཡོདཔ་ཨིན། ༢། ལྕངམ་གིས་ ལྕངམ་གི་རྣམ་པ་བསྒྱུར་བཅོས་འབདཝ་ཨིན། གསུམ་པ་ འབྱེམ་ཁུ་སིམ་སི་དང་ ཤུགས་ཆེ་བའི་ཁུ་སིམ་སི་གི་ཨང་གྲངས་ཚུ་ བཀྲམ་སྟོན་འབད་ནིའི་དོན་ལུ་ ལག་ལེན་འཐབ་ཨིན།",i i,ii ii,iii,"ii, iii",?
hsc-advanced_chemistry-12-17,AgNO_{3}ལུ་ གློག་ཤུགས་ ༠.༡F བྱིན་པ་ཅིན་ ཀ་ཐོཌ་ནང་ལུ་ དངུལ་ག་དེ་ཅིག་སྤུངས་འོང་ག་,108,10.8,1.08,0.108,?
hsc-advanced_chemistry-12-18,གློག་རིག་གི་དབྱེ་ཞིབ་ནང་ ག་འདི་ཧེ་མ་གློད་བཀྲོལ་གཏང་ནི་ཨིན་ན,?,?,?,?,?
hsc-advanced_chemistry-12-19,བརྒྱ་ཆ་ ༡༠་གི་ནང་ལུ་ མེ་ཏན་ལཱལ་གྱི་གནས་ཚད་འདི་ མོལ་རི་ཊི་ ༡་ལུ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,3.125,3.51,4.43,5.61,a
hsc-advanced_chemistry-12-20,ཇི་ཨོ་ཌི་ཡཱནསི་ཊི་ ཨེཆ་སི་ཌི་ཡཱནསི་འདི་ག་ཏེ་ཡོདཔ་ཨིན་ན?,"Pt, Cl_{2}/Cl^{-}","Ag, AgCl(s)/Cl^{-}","Na, Hg/Na^{+}","Pt, Fe^{2+}/Fe^{3+}",d
hsc-advanced_chemistry-12-21,ཆུ་གི་གནས་ཚད་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,2-4 mg\L,4-8 mg\L,8-10 mg\L,10-12 mg\L,-
hsc-advanced_chemistry-12-22,གཞི་རྟེན་གནས་ཚད་ཀྱི་ རྒྱུ་རྫས་འདི་ག་ཅི་ཨིན་ན།,H_{2}SO_{4},HCl,KMnO_{4},K_{2}Cr_{2}O_{7},d
hsc-advanced_chemistry-12-23,གློག་ཤུགས་ཉམས་བཅོས་ཀྱི་སྐབས་ ཀ་ཐོཌ་འདི་ ག་ཅི་བཟུམ་ཅིག་ལུ་འགྱུར་ཡོདཔ་ཨིན་ན?,ཨོ་ཟི་ཡཱན་,ཨོ་ཟི་ཡཱན་,ཨོ་ཟི་ཡཱན་,ཨོ་ཟི་ཡཱན་,-
hsc-advanced_chemistry-12-24,རྡུལ་ཕྲན་ཅིག་གི་ཤུགས་འདི་ ཚ་དྲོད་ག་ཚོད་ལུ་ ༠ ལུ་ལྷོད་ནི་ཨིན་ན?,o\degree C,273\degree C,0K,298K,c
hsc-advanced_chemistry-12-25,འོག་གི་ཟུར་གྱི་སྦྱོར་བ་འདི་འོད་གསལ་ལུ་ འདྲ་མཉམ་སྦེ་མཐོང་ཚུགས་ག?,ཀ_{4}H_{10},ཀ_{7}H_{16},ཀ_{6}H_{14},ཀ_{5}H_{12},b
hsc-advanced_chemistry-12-26,0.15M HCl གྲོས་ཆོད་ནང་ལུ་ ppm ༡་གི་རྒྱ་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༣.༦༥,༡༥༠༠,༣༦༥༠,༥༤༧༥,d
hsc-advanced_chemistry-12-27,འ་ནི་གློག་ཤུགས་འདི་ ག་ལུ་ཐོབ་ཚུགསཔ་ཨིན་ན?,Cu^{2+},H^{+},Au^{3+},Ag^{+},c
hsc-advanced_chemistry-12-28,"""2H_{2}O(l) + HCl(aq) \rightleftharpoons H_{3}O^{+} + B བི་གི་རྟགས་འདི་ག་ཅི་ཡོདཔ་?""",Cl^{-},Cl,Cl^{+},Cl_{2},a
hsc-advanced_chemistry-12-29,"""2H_{2}O(l) + HCl(aq) \rightleftharpoons H_{3}O^{+} + B H_{3}O^{+} འདི་འཚོར་བ་འབྱུང་ནི་གི་དོན་ལས་ i. ཨེསི་ཊི་བཱལ་ ཨེསི་ཊི་བི་ བུརྷ་ ii. H_{2}O གི་མཐའ་འཁོར་ལུ་ཡོད་པའི་ཁུ་བ་ གསུམ་པ་ འདི་ནང་ལུ་ གློག་ཤུགས་ཀྱིས་ Proton བཟོ་ཚུགས། འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་",i དང་ ii དང་ iii,ii དང་ iii,ii དང་ iii,-,b
hsc-advanced_chemistry-12-30,100\degree C ནང་ལུ་ CO_{2} མེ་རླུང་ཤུགས་ 1.0526 atm ནང་ལུ་ མུ་ཏིག་གི་ལྗིད་ཚད་ (g\L) འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,0.00291,0.0149,1.512,1.49 \times 10^{22},c
hsc-advanced_chemistry-12-31,འོག་གི་གློག་རིག་དབྱིབས་འདི་ག་འདི་ཨིན་ན།,SO_{3},NH_{3},RMgX,H_{2}O,a
hsc-advanced_chemistry-12-32,CH_{2}Cl_{2}འདི་ སྣུམ་འཁོར་ C གི་ཨོ་ཟི་ཌེན་གནས་གོང་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,4,2,-2,0,d
hsc-advanced_chemistry-12-33,CH_{3} - CH(OH) - CH_{2} - COOH གྱི་ IUPAC གི་མིང་ཚིག་འདི་ ག་འདི་བདེན་པ་ཨིན་ན?,༢-ཧའི་ཌོ་ཀི་པེ་ཊན་ནའི་ཀཨེ་སིཌ་,༤-ཧའི་ཌོ་ཀི་པེ་ཊན་ནའི་ཀཨེ་སིཌ་,༥-ཀཱར་བཱོ་ཀི་པེ་ཊན་ནོལ་,༢ ༡-ཀཱར་བཱོ་ཀི་པེ་ཊན་ནོལ་,b
hsc-advanced_chemistry-12-34,ཕྲ་རིང་གི་ནུས་ཤུགས་འདི་ +0.76V དང་ -0.769V ཨིན་པ་ཅིན་ ཕྲ་རིང་གི་ནུས་ཤུགས་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་,#ERROR!,#ERROR!,#ERROR!,-1.529V,a
hsc-advanced_chemistry-12-35,n-pentaneལུ་ ཨོ་མཱོན་ག་དེ་ཡོདཔ་ཨིན་ན?,༣༤༥༦,-,-,-,-
hsc-advanced_chemistry-12-36,འ་ནི་ཚུ་ནང་ལས་ག་འདི་ ཨོཏོ་-པེ་ར་ཨེན་ཌི་ཨིན་ཨིན་ཨིན་?,-NO_{2},-NH_{2},-COOH,-CHO,b
hsc-advanced_chemistry-12-37,CuSO₄ དྲོབ་སྦྱོར་ནང་ 7.5 amp གློག་དྲོད་ 50 min འགོར་བྱས་ན་ཀེ་ཐོ་ཌེ་ལ་ཐོན་པའི་ Cu ཚད་གྲམ་ཚོས་གང་ཡིན་ནམ།,0.2463,3.7,7.4,14.8,c
hsc-advanced_chemistry-12-38,"Sₙ2 འགྱུར་བའི་མཚོན་རྟགས་-
i. ཕོ་ལར་དྲོབ་སྦྱོར་ནང་མཐོང་།
ii. ཚིགས་གཅིག་གི་རིམ་པར་འགྲུབ།
iii. ལས་ཤུགས་ཀྱི་རིམ་པ།
CH₃X > 1° RX > 2° RX > 3° RX
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",c
hsc-advanced_chemistry-12-39,ཚད་ལྡན་གནས་སྟངས་སུ་ 9.0 g ཆུ་ལ་ཧའི་ཌྲོ་ཇེན་གྱི་འདུས་རྡུལ་གང་ཙམ་ཡོད་དམ།,6.023 × 10²³,3.0115 × 10²³,6.023 × 10²¹,12.046 × 10²³,a
hsc-advanced_chemistry-12-40,"NaCl ཀྱི་ཆུ་དྲོབ་སྦྱོར་གྱི་གློག་བཙོ་བཤོར་ནང་ཐོན་པ་-
i. NaOH
ii. Cl₂
iii. H₂
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-41,མེ་ཐིལ་ཨོ་རེན་ཇེ་ཡི་ཚོས་གཞི་བསྒྱུར་བའི་ pH མཚམས་གང་ཡིན་ནམ།,6.8-8.4,4.2-6.3,3.8-5.4,3.1-4.4,d
hsc-advanced_chemistry-12-42,ཡུན་དུ་གནས་པའི་ཀར་བོན་ཡོ་ཆས་གང་ཡིན་ནམ།,\overline{C}H₃,CH₃\overline{C}H₂,(CH₃)₂\overline{C}H,(CH₃)₃\overline{C},a
hsc-advanced_chemistry-12-43,མོ་ལར་གྱི་རླུང་རྩ་ལྡན་ R ཡི་ SI ཡན་ལག་གང་ཡིན་ནམ།,LatmK⁻¹ mol⁻¹,JK⁻¹ mol⁻¹,ergK⁻¹ mol⁻¹,cal.K⁻¹ mol⁻¹,b
hsc-advanced_chemistry-12-44,གང་ཞིག་ལུའི་སི་ཀྲུང་གི་ཀྲུང་ཆུང་ཡིན་ནམ།,CO,BF₃,BeCl₂,SO₃,a
hsc-advanced_chemistry-12-45,ཧོཕ་མན་ཌི་གྲེ་ཌེ་ཤན་གྱིས་གང་ཞིག་ཐོན་པར་བྱེད་དམ།,ཨེ་སིཌ་ཨེ་མེ་ཌེ།,དང་པོའི་ཨེ་མིན།,གཉིས་པའི་ཨེ་མིན།,ཀར་བོན་སིལ་ཨེ་སིཌ།,b
hsc-advanced_chemistry-12-46,ཡོ་ཆས་དང་སྐྱེད་གྲངས་གཉིས་ཀ་ཀླད་ཀོར་གང་ཡིན་ནམ།,Br₂,Ar,CH₂Cl₂,HCHO,b
hsc-advanced_chemistry-12-47,0.05M གླུ་ཀོས་དྲོབ་སྦྱོར་གྱི་ཚད་ ppm ཡི་ཚོས་གང་ཡིན་ནམ།,900,4500,9000,18000,c
hsc-advanced_chemistry-12-48,བྲའི་ནི་གྱི་གློག་བཙོ་བཤོར་ནང་གང་ཞིག་ཐོན་པར་བྱེད་དམ།,NaCl,NaHCO₃,NaOH,NaClO,c
hsc-advanced_chemistry-12-49,"Pt, H₂/H⁺ དང་མཉམ་དུ་གང་ཞིག་ཀེ་ཐོ་ཌེ་ལྟར་བེད་སྤྱོད་བྱེད་དམ།",Au³⁺/Au,Mg²⁺/Mg,Sn²⁺/Sn,Al³⁺/Al,a
hsc-advanced_chemistry-12-50,"A + CO₂ → RCOOMgX → X (H⁺/H₂O ཐོག)
B ཡོ་ཆས་གང་ཡིན་ནམ།",RCHO,RCOX,RCOOH,RCOOR,c
hsc-advanced_chemistry-12-51,A ཡོ་ཆས་དང་ཀི་ཊོན་ཡོ་ཆས་ཀྱི་འགྱུར་བ་ནས་གང་ཞིག་ཐོན་པར་བྱེད་དམ།,3° ཨཱལ་ཀོ་ཧོལ།,2° ཨཱལ་ཀོ་ཧོལ།,1° ཨཱལ་ཀོ་ཧོལ།,ཀར་བོན་སིལ་ཨེ་སིཌ།,a
hsc-advanced_chemistry-12-52,"བྲོན་སིཊེཌ་-ལཱུ་རི་ཐི་ཡོ་རེ་ནང་ཨེ་སིཌ་ལྟར་བེད་སྤྱོད་བྱེད་པ་-
i. PH₄⁺
ii. HC₂O₄⁻
iii. Na₂HPO₄
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i,i དང་ ii,ii དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-53,ཡོ་ཆས་ནང་མཐའ་རྟེན་ངོས་འཛིན་བྱེད་པར་གང་ཞིག་བེད་སྤྱོད་བྱེད་དམ།,ཨའི་ཡོ་ཌོ་ཕོརམ་བརྟག་དཔྱད།,ཀར་བིལ་ཨེ་མིན་བརྟག་དཔྱད།,བེར་བརྟག་དཔྱད།,ལེ་སེན་བརྟག་དཔྱད།,d
hsc-advanced_chemistry-12-54,ཨེ་མེ་ཌེ་ཡི་ལས་ཀྱི་རྩ་བ་གང་ཡིན་ནམ།,\text{-CONH₂},\text{-COX},\text{-CHO},\text{-NH₂},a
hsc-advanced_chemistry-12-55,གང་ཞིག་ཧའི་ཌྲོ་ཀློ་རིཀ་ཨེ་སིཌ་ནས་ཧའི་ཌྲོ་ཇེན་བརྗེ་རེས་བྱེད་མི་ཐུབ་པ།,Fe,Co,Sn,Pt,d
hsc-advanced_chemistry-12-56,FeCl₃ ནས་ 55.85g Fe གཞི་བཙུགས་བྱེད་པར་གློག་གི་ཚད་གང་དགོས་དམ།,5F,3F,2F,1F,b
hsc-advanced_chemistry-12-57,"Cr₂O₇²⁻ + H⁺ + Fe²⁺ →
i. Cr₂O₇²⁻ བཅུག་རྫས་འགྱུར་བ།
ii. Fe²⁺ སྐྱེད་རྫས་འགྱུར་བ།
iii. 6 གློག་རྡུལ་འགྲུབ།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-58,ཆུ་ཚད་གཅིག་གི་ CO₂ རླུང་ནང་ཨོཀྵི་ཇེན་འདུས་རྡུལ་གང་ཙམ་ཡོད་དམ།,1 ཚེས།,2 ཚེས།,3.01 × 10²³ ཚེས།,6.023 × 10²³ ཚེས།,d
hsc-advanced_chemistry-12-59,གང་ཞིག་དང་པོའི་ཚད་ལྡན་རྫས་ཡིན་ནམ།,CH₃COOH,Na₂C₂O₄·2H₂O,Na₂S₂O₃·5H₂O,KMnO₄,b
hsc-advanced_chemistry-12-60,ཆུ་ཡི་མི་རྟག་པའི་ཁྲོད་ཀྱི་དམིགས་བསལ་གྱི་རྒྱུ་རྐྱེན་གང་ཡིན་ནམ།,CaCO₃,AlCl₃,Mg(HCO₃)₂,FeSO₄,c
hsc-advanced_chemistry-12-61,HBr དྲོབ་སྦྱོར་ནང་ཕེ་ནོལ་ཕྲེ་ཐེ་ལིན་གྱི་ཚོས་གང་ཡིན་ནམ།,དམར།,སེར།,སྔོན་པོ།,ཚོས་མེད།,d
hsc-advanced_chemistry-12-62,གང་ཞིག་གློག་བཙོ་བཤོར་དྲོབ་སྦྱོར་ཉུང་ངུ་ཡིན་ནམ།,NH₄OH,NaOH,H₂SO₄,HNO₃,a
hsc-advanced_chemistry-12-63,100 mL སེ་མི་མོ་ལར་དྲོབ་སྦྱོར་བཟོ་བར་ Na₂CO₃ ཚད་གང་དགོས་དམ།,0.53 g,1.06 g,5.30 g,10.60 g,c
hsc-advanced_chemistry-12-64,50mL 0.5M NaOH དྲོབ་སྦྱོར་ཌེ་སི་མོ་ལར་དྲོབ་སྦྱོར་ལ་བསྒྱུར་བར་ཆུ་ཚད་གང་ཞིག་ཁ་སྣོན་བྱེད་དགོས་དམ།,250 mL,200 mL,150 mL,100 mL,b
hsc-advanced_chemistry-12-65,གཉིས་པའི་ཚད་ལྡན་རྫས་གང་ཡིན་ནམ།,KMnO₄,K₂Cr₂O₇,Na₂CO₃,Na₂C₂O₄,a
hsc-advanced_chemistry-12-66,Zn ཡི་གློག་རྩ་རིག་པའི་མཚུངས་ཚད་གང་ཡིན་ནམ།,0.0000208 gC⁻¹,0.000339 gC⁻¹,0.000367 gC⁻¹,0.00118 gC⁻¹,b
hsc-advanced_chemistry-12-67,"32g O₂ ཡི་དོན་-
i. 1 mole O₂
ii. ཚད་ལྡན་གནས་སྟངས་སུ་ 24.8L ཚུགས།
iii. ཨེ་ཌོ་གྲེ་ཌྲོ་གྲངས་དང་མཚུངས་པའི་འདུས་རྡུལ།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i,i དང་ ii,i དང་ iii,"i, ii དང་ iii",c
hsc-advanced_chemistry-12-68,Al₂O₃ ཡི་སྤྱི་ཚད་གང་ཡིན་ནམ།,6,4,3,2,a
hsc-advanced_chemistry-12-69,"A དང་ B གཉིས་ཀྱི་མོ་ལེ་ཀུ་ལར་ཆ་རྐྱེན་ C₄H₈ ཡིན། A ཡོ་ཆས་ཀྱི་གཞི་རྩ་ 1 ཡོད་པ་དང་ B ཡོ་ཆས་ཀྱི་གཞི་རྩ་ 2 ཡོད།
IUPAC ཐབས་ལམ་ནང་ A ཡོ་ཆས་ཀྱི་མིང་གང་ཡིན་ནམ།",བི་ཡུ་ཐན-1-ཨའིན།,བི་ཡུ་ཐན-1-ཨིན།,བི་ཡུ་ཐན-2-ཨིན།,བི་ཡུ་ཐན-3-ཨིན།,b
hsc-advanced_chemistry-12-70,"A དང་ B གཉིས་ཀྱི་མོ་ལེ་ཀུ་ལར་ཆ་རྐྱེན་ C₄H₈ ཡིན། A ཡོ་ཆས་ཀྱི་གཞི་རྩ་ 1 ཡོད་པ་དང་ B ཡོ་ཆས་ཀྱི་གཞི་རྩ་ 2 ཡོད།
B ཡོ་ཆས་ཀྱི་མཚུངས་པ་-
i. d-མཚུངས་པ།
ii. cis-མཚུངས་པ།
iii. trans-མཚུངས་པ།
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",c
