identity,question,a,b,c,d,correct_ answer
hsc-advanced_math-12-1,མདའ་གཞུ་འདི་ གྱང་གི་ནང་ན་ ཨེན་ཊི་༣་འཛུལ་བའི་ཤུལ་ལས་ མདའ་གཞུ་གི་ཤུགས་ཕྱེད་ཀ་ཡལ་འགྱོ་འོང་། ཚ་གྱང་འདི་ནང་ལུ་ མདའ་གཞུ་འདི་ ག་དེ་ཅིག་མགྱོགས་མགྱོགས་སྦེ་འགྱོ་ཚུགས་ག?,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{2}{3} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,1,d
hsc-advanced_math-12-2,\sqrt[4]{- 49}གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\pm \sqrt{7}i འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\pm \sqrt{\frac{7}{2}} (1 \pm i) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\pm \frac{7}{2} (\pm i) འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་,\frac{7}{\sqrt{2}} (1 \pm 2i) འདི་ སྦྲེལ་རྟགས་ཨིན་,b
hsc-advanced_math-12-3,3x^{3} - 1 = 0 ཨིནམ་དང་ འདི་ཡང་ ཕྱོགས་མཚུངས་ཀྱི་རྩ་བ་ \alpha^{3} + \beta^{3} + \gamma^{3} = ?,-1,0,\frac{1}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,1,d
hsc-advanced_math-12-4,ཌི་བི་ཨེམ་ཨའེ་ཊི་གི་གཞི་རྩ་ \frac{1}{2 + i}ཡོད་པ་ཅིན་,9x^{2} - 12x + 5 = 0 ཨིན་པས།,5x^{2} - 4x + 1 འདི་ ༠ ཨིན་པས།,5x^{2} + 14x + 1 འདི་ ༠ ཨིན།,25x^{2} - 20x + 3 འདི་ ༠ ཨིན།,b
hsc-advanced_math-12-6,i. \alpha + \beta = p,"- 1, 5","1, 5","- 2, - 2","- 3, 1",a
hsc-advanced_math-12-7,ii. \alpha\beta = pq,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-8,iii. \frac{1}{\alpha} + \frac{1}{\beta} = \frac{1}{q},"\left (\frac{9}{4}, -1 \right) དེ་ ཨང་དང་པམ་དེ་ཨིན།","\left (\frac{9}{4}, -2 \right) དེ་ ཨེ་རེ་ཨིན་ཌི་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་ཨིན་","\left (\frac{5}{4}, -1 \right) དེ་ ཨང་དང་པམ་དེ་ཨིན།","\left (\frac{13}{4}, -1 \right) དེ་ ཨང་དང་པམ་དེ་ཨིན།",c
hsc-advanced_math-12-9,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,4\sqrt{2} དེ་ཚུ་,8\sqrt{2} དེ་ཚུ་,༩\sqrt{2} འདི་ཚུ་,4\sqrt{6} འདི་ཚུ་,b
hsc-advanced_math-12-10,y^{2} + 4x + 2y - 8 = 0 འདི་འཁོར་ལོའི་ལྟེ་བ་ལུ་ཡོདཔ་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-11,ཟུར་ཐིག་གཉིས་ཆ་ར་ལུ་ རྒྱང་རིང་གི་མཐའ་འཁོར་གྱི་མཐའ་འཁོར་སྦེ་བརྩིས་ཏེ་ སྦོམ་ཤོས་ཀྱི་མཐའ་འཁོར་རིང་ཚད་འདི་ ༡༢ དང་ སྦོམ་ཤོས་ཀྱི་མཐའ་འཁོར་རིང་ཚད་འདི་ = \frac{1}{3}ཨིན་པ་ཅིན་ ཆུང་ཤོས་ཀྱི་མཐའ་འཁོར་རིང་ཚད་དེ་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,\frac{5}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{5}{4}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{\sqrt{7}}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{\sqrt{7}}{4} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,a
hsc-advanced_math-12-12,y^{2} = 6x གི་མཐའ་འཁོར་འདི་ y = mx + c གི་མཐའ་འཁོར་འདི་ ཐིག་ཁྲམ་འདི་གུ་ཕོག་པ་ཅིན་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-advanced_math-12-13,i. c = \frac{3}{2m},\frac{3}{4}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{5}{4}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{4}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{3}{\sqrt{7}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,a
hsc-advanced_math-12-14,༢། ཀེར་ཐིག་དང་ཕྲང་ཐིག་གཉིས་ཆ་ར་ལུ་ མཚོན་ཆ་ཡོདཔ་ཨིན།,(6n - 1) \frac{\pi}{9} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,\frac{2n\pi}{3} + \frac{\pi}{3} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,\frac{2n\pi}{3} + \frac{\pi}{9} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་ཞིནམ་ལས་,(2n+1) \frac{\pi}{6} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན།,c
hsc-advanced_math-12-15,"གསུམ་པ་ ཐད་ཀར་གྱི་ས་སྒོ་འདི་ \left (\frac{3}{m^{2}}, \frac{3}{m} \right)",(2n + 1) \frac{\pi}{2} འདི་ཡང་ བརྒྱ་ཆ་ ༢་སྦེ་རྩིས་སྟོནམ་ཨིན།,(4n + 1) \frac{\pi}{2} འདི་ཡང་ སྦྲགས་བཀལཝ་ཨིན།,n\pi + ) \frac{\pi}{4} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,n\pi + ) \frac{3\pi}{4} འདི་ཡང་ ཕྲང་ཕྲང་ཨིན་,a
hsc-advanced_math-12-16,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,-1,1,#NAME ཟེར་ཨིན་ན།,i,c
hsc-advanced_math-12-17,"16y^2 - 9x^2 = ༡༤༤ ཨིན་པས།

འ་ནི་གློག་རྡུལ་འདི་ག་བཟུམ་ཅིག་ཡོདཔ་སྨོ་ཟེར་
16y^2 - 9x^2 = ༡༤༤ ཨིན་པས།",\frac{\pi}{6}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{\pi}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{4\pi}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{7\pi}{6}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-advanced_math-12-18,,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-advanced_math-12-19,གློག་རྡུལ་འདི་གིས་,4,2,1,-2,d
hsc-advanced_math-12-20,i. ཚད་མེད་པའི་ཕྲང་ཐིག་གི་རྩིས་གཞི་ y = \pm \frac{3}{4}x,-3,-1,0,1,b
hsc-advanced_math-12-21,༢། ཚད་འཛིན་ཐིག་གི་རྩིས་ 5y \pm 9 = 0,\sqrt{2} + 1 འདི་ཨིན་པ་ཅིན་,\sqrt{2} - ༡ ལུ་ཨིན་,\sqrt{2} - ༡ ལས་བརྒལ་མེད།,- \sqrt{2} + 1 དེ་ ཨང་དང་པམ་དེ་ཨིན།,b
hsc-advanced_math-12-22,"གསུམ་པ་ ཚད་ལྡན་མཉམ་པ་ x = 3sec\theta, y = 4 tan\theta",-15,-3,3,15,d
hsc-advanced_math-12-23,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,k \leq - 1 འདི་,k \geq - ༡ ལས་བརྒལ་མེད།,k < - ༡ ལས་བརྒལ་མེད་,k > - ༡ ལས་བརྒལ་མེད།,b
hsc-advanced_math-12-24,sincot^{-1} tancos^{-1} \frac{3}{4} འདི་ག་དེམ་ཅིག་སྦེ་འོང་ནི་ཨིན་ན?,0,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,1,2,c
hsc-advanced_math-12-25,གལ་སྲིད་ nའདི་ ནུས་ལྡན་ཨང་གྲངས་ཨིན་པ་ཅིན་ cos 3\theta = \frac{1}{2} ཟེར་བའི་རྩིས་གཞི་འདི་ ག་དེ་སྦེ་སེལ་ཚུགས་ནི་ཨིན་ན?,2,\sqrt{3} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,1,\frac{2}{\sqrt{3}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,a
hsc-advanced_math-12-26,secx = sec(x + \pi) གི་དོན་ལུ་ སྤྱིར་བཏང་ཐབས་ལམ་འདི་:,2,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,- ཨང་གྲངས་དེ་ ཨང་གྲངས་དེ་ཨིན།,-2,b
hsc-advanced_math-12-27,i^{-65} འདི་ག་བཟུམ་ཅིག་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-advanced_math-12-28,3 - \sqrt{3}i གིས་ གྲུབ་རྟགས་ག་ཅི་ཡོདཔ་ཨིན་ན?,y = \pm \frac{4}{3}x གི་གནས་གོང་དེ་ཨིན།,x = \pm \frac{4}{3}y འདི་ཨིན་པ་ཅིན་,y = \pm \frac{5}{4} x གི་གནས་གོང་དེ་ཨིན།,x = \pm \frac{5}{4}y འདི་ཨིན་པ་ཅིན་,a
hsc-advanced_math-12-29,z = x + iy ཨིན་པ་ཅིན་,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1}{\sqrt{2}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\sqrt{2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,2,c
hsc-advanced_math-12-30,i.z,cot^{-1}3 འདི་ཨིན་པ་ཅིན་,cot^{-1}\frac{11}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,cot^{-1}\frac{11}{7}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,cot^{-1}\frac{9}{7}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,b
hsc-advanced_math-12-31,i.z.\overline{z} = 20.z གི་མཐའ་མར་^2,2n\pi \pm \frac{\pi}{3} འདི་ཡང་ སྦ་སྒོར་ནང་ཨིན་,n\pi \pm \frac{\pi}{3} འདི་ཡང་ སྦ་སྒོར་ནང་ཨིན་,2n\pi \pm \frac{\pi}{6} འདི་ཡང་ སྦ་སྒོར་ནང་ཨིན་,n\pi \pm \frac{\pi}{6}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-advanced_math-12-32,iii. arg{(\overline{z}) = arg{z},i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-advanced_math-12-33,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,༣༠་\degrees,༦༠་\degree,༩༠་\degree,༡༢༠,d
hsc-advanced_math-12-34,x = 1 + \sqrt{2}i འདི་ཨིན་པ་ཅིན་ 2x^3 - 3x^2 + 4x + 1 འདི་ག་དེམ་ཅིག་སྦེ་འོང་ནི་སྨོ་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-35,"ད་ x^{2} + x + 1 = 0 གྱི་རྩ་བ་ \alpha, \beta འདི་ཨིན་པ་ཅིན་ \Sigma\alpha^{2} གི་གནས་གོང་དེ་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?",5 m,༡༠་མི་ཊར་,15 m,20 m,b
hsc-advanced_math-12-36,ཌི་བི་ཨོ་པི་གི་རྩ་བ་ \frac{1}{\sqrt{2} + 1}ཡོད་པ་ཅིན་ རྩ་བ་གཞན་འདི་ག་ཅི་ཨིན་ན?,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{9}{5}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,3,\frac{9}{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,b
hsc-advanced_math-12-37,2x - x^{2} + k = 0 འདི་ ཌའི་ལོག་གི་རྩིས་གཞི་ཨིན།,336,256,192,128,a
hsc-advanced_math-12-38,,\frac{6}{g} m འདི་ཡང་ སྦ་སྒོར་འདི་ཨིན་,\frac{3}{g} m འདི་ཡང་ སྦ་སྒོར་འདི་ཨིན་,\frac{9}{2g}m འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{9}{g} m འདི་ཡང་ སྦ་སྒོར་འདི་ཨིན་,c
hsc-advanced_math-12-39,k འདི་ག་དེམ་ཅིག་ཨིནམ་སྨོ་ཟེར་བ་ཅིན་ འདྲ་མཉམ་གྱི་ཐོན་རིམ་འདི་ x + 3 ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-40,2x - x^{2} + k = 0 འདི་ ཌའི་ལོག་གི་རྩིས་གཞི་ཨིན།,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-41,,"(0, -3)","(0, 3)","(-3, 0)","(3, 0)",a
hsc-advanced_math-12-42,ཌའི་ལོག་གི་རྩ་བ་དེ་བདེན་པ་ཨིན་པ་ཅིན་ ...,2n\pi + \frac{\pi}{2} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,2n\pi - \frac{\pi}{2} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,n\pi + \frac{\pi}{2} འདི་ ཀེར་ཐིག་གཉིས་དང་ལྡནམ་ཨིན།,n\pi - \frac{\pi}{2} དེ་ ཨེ་རེ་ལུ་ཨེབ་གཏང་འབད།,b
hsc-advanced_math-12-43,x^{2} = 2y གི་ཆ་ཕྲན་འདི་ག་དེ་ཅིག་ལུ་ལྟེ་བ་ཡོདཔ་ཨིན་ན?,ལྡེ་མིག་,དུས་རྒྱུན་གྱི་,ཟུར་ཐིག་,ཕབ་ཆག་ཐོབ་ཡོདཔ་ཨིན།,d
hsc-advanced_math-12-44,3x^{2} + 4y^{2} = 12 རྒྱང་མཐོང་གི་ལྟེ་བ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\sqrt{3i} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,\pm \sqrt{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,- ཨིན་ཅི་མིན་ཅི་,\sqrt{3} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,c
hsc-advanced_math-12-45,x+y+k=0 འདི་ y^{2} = 2x གི་ཕྲང་ཐིག་གི་ཕྲང་ཐིག་གུ་ཕོག་པ་ཅིན་ k གི་གནས་གོང་འདི་ག་ཅི་ཨིན་ན?,༡༨༠་\degrees,༩༠་\degree,- དབྱེ་བ་ ༡༨༠ ལུ་,0\degree ཟེར་མི་འདི་,d
hsc-advanced_math-12-47,i. མེདཔ་ཨིན།,\frac{2}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{3}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{\sqrt{5}}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{\sqrt{5}}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,d
hsc-advanced_math-12-48,༢། ལྡེ་མིག་འདི་ནང་བལྟ་བ་ཅིན་,m ༢ ལུ་,4 m,6 m,8 m,c
hsc-advanced_math-12-49,གསུམ་པ་ ཀྲོང་ཁའི་རྩ་བ་ལས་ཐོབ་ནུག,6 m/sec^{2} འདི་ཡང་,12 m/sec^{2} འདི་ཡང་,m/sec^{2}ལུ་ 18 འབད་མི་,24 m/^{2} འདི་ཡང་ 24 m/^{2} ཨིན།,c
hsc-advanced_math-12-50,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,\frac{n\pi}{3} + \frac{\pi}{12} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,\frac{n\pi}{3} + \frac{\pi}{6} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,\frac{3n\pi}{3} + \frac{\pi}{12} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,n\pi,a
hsc-advanced_math-12-51,ཟུར་ 6N དང་ 8N གི་བར་ནའི་ཟུར་འདི་ག་དེམ་ཅིག་ཡོདཔ་དང་ ཟུར་ 2\sqrt{13} N འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,- ཨང་གྲངས་དེ་ ཨང་གྲངས་དེ་ཨིན།,\frac{2\pi}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,#NAME ཟེར་ཨིན་ན།,\pi,b
hsc-advanced_math-12-52,སྒོ་འདི་ནང་ལུ་ མདའ་རྩེད་བཱོལ་གསུམ་བསྡོམས་ཏེ་ཡོད་པ་ཅིན་ བཱོལ་གཉིས་ལས་བརྒལ་མེད་པ་ཅིན་ བཱོལ་གསུམ་པ་གི་བཱོལ་འདི་...,༡༡ ནི།,༣༣ ན,66 ན,༩༩ ནི།,d
hsc-advanced_math-12-53,i. འདྲན་འདྲ་ཨིན།,\frac{9}{8}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{9}{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{32}{5}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{32}{9}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,b
hsc-advanced_math-12-54,༢། འདྲ་མཉམ་འབད་,x = \frac{16}{5} ཨིན།,y = \frac{16}{5} འདི་ཨིན་པ་ཅིན་,x = \pm \frac{16}{5} ཨིན།,y = \pm \frac{16}{5} ཨིན།,c
hsc-advanced_math-12-55,གསུམ་པ་ རྒྱབ་ལོག་འགྱོ་ནི་,༣.༣༢ sec,༣.༣༤ sec,༣.༣༦ sec,༣.༣༨ sec,a
hsc-advanced_math-12-56,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,\sqrt{1 - x^{2}} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,\frac{\sqrt{1 - x^{2}}}{x} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,\frac{x}{\sqrt{1 - x^{2}}}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{1}{\sqrt{1} - x^{2}}}ལུ་ བསྒྱུར་འབདཝ་ཨིན།,c
hsc-advanced_math-12-57,45N དང་ 15N གི་བར་ནའི་ཤུགས་འདི་ A དང་ B གི་བར་ནའི་ཤུགས་འདི་ C གི་བར་ནའི་ཤུགས་འདི་ཨིན། ACའདི་ ༥་ཨིན་པ་ཅིན་ ABའདི་ག་དེ་ཅིག་ཨིན་ན?,3 cm/sec དེ་ཨིན།,60 cm/sec,120 cm/sec ཨིན་,180 cm/sec ཨིན་,d
hsc-advanced_math-12-58,མི་ཅིག་གིས་ ཆུ་རུད་མེད་པའི་གཙང་ཆུ་ནང་ལུ་ མེ་ཊར་༤༥༠ རྒྱང་རིང་དེ་ནང་ དུས་ཡུན་སྐར་མ་༡༥ དེ་ཅིག་གི་ནང་འཁོད་ལུ་ ཆགས་ཚུགས་པ་ཅིན་ ཆུ་རུད་དེ་གི་མགྱོགས་ཚད་དེ་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན? མི་དབང་མཆོག་གིས་ དུས་ཡུན་ཆུ་ཚོད་ག་དེམ་ཅིག་ལུ་འགོར་ནི་ཨིན་ན?,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,- ཨང་གྲངས་དེ་ ཨང་གྲངས་དེ་ཨིན།,2,-2,b
hsc-advanced_math-12-59,སྣུམ་འཁོར་འདི་ དུས་ཡུན་སྐར་མ་༥ དེ་ཅིག་གི་ནང་འཁོད་ལུ་ ཐིམ་ཕུག་ལས་མར་ ཐིམ་ཕུག་ལུ་ལྷོད་ནུག དེ་ལས་ སྣུམ་འཁོར་འདི་ དུས་ཡུན་སྐར་མ་༣ གྱི་ནང་འཁོད་ལུ་ མར་ཕབ་རྐྱབ་ཡོདཔ་ཨིན་མེན་ན་?,m འདི་ ༤ དང་ n འདི་ ༥ ཨིན།,m = -4 དང་ n = 5 ཨིན།,m = -4 དང་ n = -5 ཨིན།,m = 4 དང་ n = -5 ཨིན་པས།,b
hsc-advanced_math-12-60,ས་འོག་ལས་ མི་ཊར་༣ གྱེན་འཛེགས་ནུག /མོ་ལུ་ འགོ་ཐོག་ལུ་ དངོས་པོ་འདི་ ཕྲང་ཕྲང་ཡར་འཕེན་པ་ཅིན་ དངོས་པོ་འདི་ མཐོ་ཚད་མི་ཊར་ག་དེ་ཅིག་ལུ་ ཡར་འཕེན་ཚུགས་ནི་སྨོ་,7\pi,9\pi,7\sqrt{3}\pi འདི་ལུ་བལྟ་བ་ཅིན་,3\sqrt{7}\pi འདི་ལུ་བལྟ་བ་ཅིན་,d
hsc-advanced_math-12-61,དངོས་པོ་ཅིག་གིས་ ཕྲང་ལམ་ u དང་ ཕྲང་ལམ་ \alpha ནང་ལུ་ ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ \alpha ནང་ལུ་ ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ \alpha ནང་ལུ་ ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ \alpha ནང་ལུ་ ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་ཕྲང་ལམ་ u དང་,\frac{\pi}{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{3\pi}{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{5\pi}{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,- ཨེཕ་རེཀ{\pi}{4} དེ་ནང་ལུ་,b
hsc-advanced_math-12-62,i. ཕྲ་རིང་འདི་ \frac{2usin\alpha}{g},དངོས་སུ་དང་ འདྲ་མཉམ་ཨིན་,དངོས་སུ་དང་ དབྱེ་བ་མེད།,དབྱེ་ཁག་ཅན་དང་ འདྲ་མཉམ་ཨིན་,མགུ་འཐོམ་ནི་མེད་རུང་ དབྱེ་བ་ཕྱེ་ནི་དེ་ཁག་ཆེ།,d
hsc-advanced_math-12-63,༢། \frac{u^{2}}{g} འདི་ སྦོམ་ཤོས་ཅིག་ཨིན་,༣༠་\degrees,༦༠་\degree,༩༠་\degree,༡༨༠་\degrees,c
hsc-advanced_math-12-64,གསུམ་པ་ མཐོ་ཚད་ཕབ་ཆག་འབད་ནི། \frac{u^{2}sin^{2}\alpha{2g},མི་ཊར་༩,མི་ཊར་༡༡།,མི་ཊར་ ༡༨།,མི་ཊར་ ༢༢,a
hsc-advanced_math-12-65,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,#NAME ཟེར་ཨིན་ན།,i,-1,1,a
