identity,question,a,b,c,d,correct_ answer
hsc-advanced_math-12-67,,མི་ཊར་ ༢.༠,མི་ཊར་༤.༩,མི་ཊར་ ༩.༨,མི་ཊར་༡༩.༦,b
hsc-advanced_math-12-68,\overline{z}གིས་ སྐདཔ་ག་དེ་ཅིག་བཟོཝ་ཨིན་ན?,\frac{1}{1 - i} དེ་ ཨེ་རེ་ལུ་ཨེབ་གཏང་འབད།,\frac{1 - i}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1 + i}{2} དེ་ ཨེ་རེ་ལུ་ བསྡུ་ཞིནམ་ལས་,1 - i,c
hsc-advanced_math-12-69,z = 3i ཨིན།,༢་\sqrt{6}N འདི་ཚུ་,2\sqrt{3} འདི་ N ཨིན།,༡༨ ནི,3\sqrt{2} N གིས་འབད་ཡོདཔ་ཨིན།,d
hsc-advanced_math-12-70,,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-71,\overline{z}གི་ སྤྱིར་བཏང་དོན་ཚན་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,"(\pm 4, 0)","(\pm 5, 0)","(0, \pm 4) འདི་ཡང་","(0, \pm 5) འདི་ཡང་",a
hsc-advanced_math-12-72,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 ཟེར་བའི་རྩིས་གཞི་འདི་ ག་ཅི་ལུ་མཚོན་ཡོདཔ་ཨིན་ན?,\frac{25}{4}ལུ་ ཨེབ་གཏང་འབད།,\frac{25}{2} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,4,8,b
hsc-advanced_math-12-73,འ་ནི་རྩིས་གཞི་འདི་ ༢་ལས་ ༣་གི་གྱངས་ཁ་ལུ་བགོ་བཤའ་རྐྱབ་ཨིན།,(2n + 1) \frac{\pi}{9} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,(2n - 1) \frac{\pi}{9}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,(2n + 1) \frac{\pi}{18} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,(2n - 1) \frac{\pi}{18}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,c
hsc-advanced_math-12-74,ཟུར་ཐིག་སྦོམ་ཤོས་འདི་ ཀླད་ཀོར་གཉིས་ཀྱི་བར་ནའི་ ཟུར་ཐིག་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,(2n + 1) \frac{\pi}{2} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,(4n + 1) \frac{\pi}{2} འདི་ཡང་ སྦྲགས་བཀལཝ་ཨིན།,(2n + 1) \pi,n\pi,d
hsc-advanced_math-12-75,x^{2} = - 3y ཕྲང་ཐིག་གི་ལྟེ་བ་འདི་ག་ལུ་ཡོདཔ་ཨིན་ན?,4y + 5 = ༠ ཨིན་པུཊི་,4x+5 དེ་ ༠ ཨིན།,4y - 5 = ༠ ཨིན་པས།,4x - 5 དེ་ ༠ ཨིན།,c
hsc-advanced_math-12-76,cot^{-1} p = cosec^{-1} \frac{3}{2}ཨིནམ་ལས་ p = ?,k = ༤ ཨིན་པས།,k = \frac{25}{4} ཨིན།,k < \frac{25}{4} ནང་ལུ་,k > \frac{25}{4} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,b
hsc-advanced_math-12-77,12N དང་ 8N འདི་གཉིས་འདྲ་མཉམ་ཨིན་པ་ཅིན་ 15m ཡན་ལག་གི་མཐའམ་ལུ་ཡོད་པའི་ ཕྲ་རིང་དེ་སྦོམ་ཤོས་ལས་ རྒྱང་རིང་ག་དེམ་ཅིག་ལུ་ཡོདཔ་ཨིན་ན?,x^{2} -9x + 20 = 0 ཨིན་པས།,x^{2} + 9x + 20 འདི་ ༠ ཨིན།,x^{2} + 9x - 20 འདི་ ༠ ཨིན།,x^{2} - 9x - 20 འདི་ ༠ ཨིན།,a
hsc-advanced_math-12-78,s = t^{3} + 3t^{2} + 6 ཨིན་པ་ཅིན་ 2s གི་ཤུལ་ལས་ མགྱོགས་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\frac{3}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{5}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{21}{2} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\frac{13}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-advanced_math-12-79,tan3\theta = 1 ཟེར་བའི་རྩིས་གཞི་འདི་ ག་ཅི་འབད་བརྩམ་ནི་ཨིན་ན?,ཐད་ཕྲང་ཐིག་,ལྡེ་མིག་,དུས་རྒྱུན་གྱི་,ཟུར་ཐིག་,b
hsc-advanced_math-12-80,sec\theta = - 2 དང་ \frac{\pi}{2} < \thetaཨིན་པ་ཅིན་ \thetaགི་གནས་གོང་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-advanced_math-12-81,དེ་ལས་ འ་ནི་ཤུགས་འདི་ ཀི་ལོ་གྷ་རམ་ ༣༣ འབད་མི་ དངོས་པོ་ཅིག་ལུ་ ཕུལ་པ་ཅིན་ སྣུམ་འཁོར་འདི་ དུས་ཡུན་སྐར་མ་ ༥ གི་རིང་ལུ་ དུས་ཡུན་སྐར་མ་ ༡༥ གི་རིང་ལུ་ འགྱོ་ཚུགས་ག?,- ཨང་གྲངས་དེ་ ཨེ་རེ་ལུ་ཨེབ་གཏང་འབད།,\frac{2\pi}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,- ཨང་གྲངས་དེ་ ཨེ་རེ་ལུ་ཨེབ་གཏང་འབད།,\frac{4\pi}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,a
hsc-advanced_math-12-82,"9x^{2} - 16y^{2} འདི་ ཧྲིལ་བུམ་གྱི་རྩིས་གཞི་ཨིན།

ཧེ་རཱཔ་ཊི་གི་ལྟག་ལུ་ཡོད་མི་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?
9x^{2} - 16y^{2} འདི་ ཧྲིལ་བུམ་གྱི་རྩིས་གཞི་ཨིན།",ལྕང་ལཱ་རྐྱབ་ནིའི་ཚད་གཞི་དེ་ ༡༢.༥ཨིན།,མི་ཊར་༡༤.༥,ལྕང་ལཱ་རྐྱབ་ནིའི་ཚད་གཞི་དེ་ 15.5m ཨིན་པས།,ལྕང་ལཱ་རྐྱབ་ནིའི་ཚད་དེ་ 18.5m ཨིན་པས།,a
hsc-advanced_math-12-83,,\sqrt{u^{2} - 2gh} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\frac{2}{g}\sqrt{u^{2} - 2gh} འདི་ཡང་ ཕྲང་ཕྲང་ཨིན་,\frac{g}{2}\sqrt{u^{2} - 2gh} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,g\sqrt{u^{2} - 2gh} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,b
hsc-advanced_math-12-84,"ཚད་འཛིན་གྱི་ཐིག་ཁྲམ་འདི་ག་ཅི་བཟུམ་ཅིག་ཨིན་ན?""",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-85,དེ་ལས་ རྡོ་གཅིག་ཡར་འཕོ་སྟེ་ རྩིགཔ་གི་གུ་ལས་མར་ རྦོབ་རིལ་འགྱོ་བ་ཅིན་ དུས་ཡུན་ག་དེམ་ཅིག་འགོར་ནི་ཨིན་ན?,18.56 ms^{-1} དེ་ནང་ལུ་,༢༤.༥ ms^{-1} ལུ་ཡར་འཕར་འགྱོ་ནུག,༢༥.༥༧ ms^{-1},༢༢.༤༠ ms^{-1},b
hsc-advanced_math-12-86,tancot^{-1} tancos^{-1} x གི་གནས་གོང་འདི་ག་ཅི་ཨིན་ན?,-1,1,#NAME ཟེར་ཨིན་ན།,0,d
hsc-advanced_math-12-87,སེམསཊི་མི་ཊར་/སི་ཀཱོན་ ༢་གི་གནས་ཚད་ལུ་ཡོད་པའི་རྡུལ་ཕྲན་ཅིག་ལུ་ གནས་ཚད་དེ་ ༣ cm/sec^{2}ཨིན། ག་དེམ་ཅིག་སྦེ་ འཕྲལ་མགྱོགས་འགྱོ་བ་ཅིན་ དུས་ཡུན་སྐར་མ་༡ གི་ནང་འཁོད་ལུ་ འདི་ག་དེམ་ཅིག་འགྱོ་ནི་ཨིན་ན?,ཨོ་མེ་ག་,\omega^{2} དེ་ནང་ལུ་,0,1,c
hsc-advanced_math-12-88,x = \sqrt[3]{1} འདི་འདྲ་མཉམ་ཅིག་ཨིན།,ཨོ་མེ་ག་,\omega^{2} དེ་ནང་ལུ་,0,1,c
hsc-advanced_math-12-89,,tan^{-1}2 འདི་ཨིན་པ་ཅིན་,2\sqrt{5} དེ་ཚུ་,5\sqrt{2} དེ་ཚུ་,\sqrt{10} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,d
hsc-advanced_math-12-90,ཨང་གྲངས་ཀྱི་རྩ་བ་ཚུ་བསྡོམས་ཞིནམ་ལས་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-advanced_math-12-91,z_{1} = 1 + i དང་ z_{2} = 2 + i ཨིན་པ་ཅིན་ z_{1}\overline{z}_{2} གི་གནས་གོང་འདི་ -,9x^{2} + 19x + 1 འདི་ ༠ ཨིན།,9x^{2} - 19x + 1 = 0 ཨིན་པས།,9x^{2} + 19x - 1 འདི་ ༠ ཨིན།,9x^{2} - 19x - 1 འདི་ ༠ ཨིན།,b
hsc-advanced_math-12-92,ཌའི་ལོག་གི་རྩིས་གཞི་ནང་ལུ་ རྩ་བ་གཉིས་ཆ་ར་ དབྱེ་བ་དང་ཆ་མེད་སྦེ་ཡོད་པ་ཅིན་ དབྱེ་བ་ཕྱེ་མི་ཅིག་ཐོབ་ཨིན།,-1,0,\frac{1}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,1,d
hsc-advanced_math-12-93,i. ལྡེ་མིག་ཚུ།,sinx,x འདི་ཨིན།,1 - x དེ་མེན་པ་ཅིན་,༡ དང་ཧྲིལ་བུམ་སྦེ་,b
hsc-advanced_math-12-94,༢། ནུས་ལྡན་ཨང་གྲངས་ཚུ་,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1}{\sqrt{2}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{\sqrt{3}}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,1,c
hsc-advanced_math-12-95,གསུམ་པ་ ནུས་མེད་ཨང་གྲངས་ཚུ་ཨིན།,\frac{\pi}{6}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{\pi}{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{\pi}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{\pi}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,c
hsc-advanced_math-12-96,འ་ནི་ཚུ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,\frac{3\pi}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{5\pi}{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{3\pi}{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{\pi}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,b
hsc-advanced_math-12-97,3x^{2} - 5x + 1 = 0 འདི་ ཌའི་ལོག་གི་གཞི་རིམ་ ཨེལ་ཕ་དང་ བེ་ཐ་ཨིན།,ཟུར་ཐིག་ x,y གྲལ་ཐིག་,x གི་ལྟག་ལུ་སོར་ལྡོག་འབདཝ་ཨིན།,y མདའ་ལུ་མཉམ་པ་ཨིན།,b
hsc-advanced_math-12-98,,e འདི་ ༡ ཨིན།,e = ༠ ཨིན་པུཊི་,e > ༡,0 < e < 1,a
hsc-advanced_math-12-99,\alpha^{2} དང་ \beta^{2} གི་རྩ་ཅན་ཚུ་ཡོད་པའི་རྩིས་གཞི་འདི་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-100,"3x^{3} - 1 = 0 གི་རྩ་བ་འདི་ \aplha, \beta, \gamma ཨིན་པ་ཅིན་ \alpha^{3} + \beta^{3} + \gamma^{3} གི་གནས་གོང་འདི་",\sqrt{5} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,\frac{3}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{2}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{1}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,a
hsc-advanced_math-12-101,sin \left (\frac{\pi}{2} cos^{-1}x \right) འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,3x^2+5y^2འདི་ 5ཨིན།,4x^{2} + 3y^{2} འདི་ 5 ཨིན།,2x^2+3y^2=5 འདི་ཡང་ 5 གི་རྩིས་གཞི་ཨིན།,4x^2+5y^2འདི་ 5ཨིན།,d
hsc-advanced_math-12-102,2sin^{-1}x = sin^{-1}y ནང་ལུ་ x = \frac{\sqrt{3}}{2}ཨིན་པ་ཅིན་ y གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,0\degree ཟེར་མི་འདི་,༣༠་\degrees,༦༠་\degree,༡༢༠,d
hsc-advanced_math-12-103,"cot\theta = k འདི་རྩིས་གཞི་ \theta = n\pi + \alpha གི་དོན་ཚན་ཨིན།

k = \frac{1}{\sqrt{3}} འདི་ཨིན་པ་ཅིན་ \alpha = ག་དེ་ཅིག་ཨིན་ན?
cot\theta = k འདི་རྩིས་གཞི་ \theta = n\pi + \alpha གི་དོན་ཚན་ཨིན།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-104,,1 གཅིག་སྒྲིལ་,༢ གཅིག་སྒྲིལ་,༣ གཅིག་པུ་,༤ གཅིག་པུ་,c
hsc-advanced_math-12-105,k = 1 དང་ \frac{\pi}{4} < \theta < 2\piཨིན་པ་ཅིན་ \theta གི་གནས་གོང་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,x^{2} - 2x - 2 འདི་ ༠ ཨིན།,x^{2} + 2x - 2 འདི་ ༠ ཨིན།,x^{2} - 2\sqrt{3}x + 2 = 0 ཨིན་པ་ཅིན་,x^{2} + 2\sqrt{3}x + 2 = 0 ཨིན་པ་ཅིན་,b
hsc-advanced_math-12-106,\frac{y^{2}}{16} - \frac{x^{2}}{25} = 1 ཕྲང་ཐིག་གི་ལྟག་ལུ་ཡོད་པའི་ ཟུར་ཐིག་གི་མཐའ་མཚམས་འདི་ག་འདི་ ?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-advanced_math-12-107,x^{2} = 16y འབད་མི་ཆ་ཕྲན་འདི་ནང་ལུ་ ཇི་ཇི་ཨེན་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་ཇི་,ངོ་མ་རང་དང་ དོན་དག་ཅན་,ངོ་མ་རང་དང་ རིན་གོང་ཡང་མེདཔ་,དབྱེ་བ་ཕྱེ་ཚུགས།,དངོས་སུ་དང་ འདྲ་མཉམ་ཨིན་,b
hsc-advanced_math-12-109,,- ཨང་གྲངས་དེ་ ཨེ་རེ་ལུ་ཨེབ་གཏང་འབད།,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,-2,2,b
hsc-advanced_math-12-110,སྦོམ་ཤོས་ཀྱི་མཐའ་འཁོར་གྱི་རིང་ཚད་འདི་ ཇི་ཇི་ཨིན་མེན་ན་ཟེར་བ་ཅིན་,p^{2} འདི་ཡང་,p^{2} - 2q འདི་,#NAME ཟེར་ཨིན་ན།,#NAME ཟེར་ཨིན་ན།,a
hsc-advanced_math-12-112,i. \sqrt{7}གི་གནས་གོང་ཚུ་ གཅིག་མཚུངས་ཨིན།,3y+2 འདི་ ༠ ཨིན་པས།,3y+5 = ༠ ཨིན་པུཊི་,3y + 7 = ༠ ཨིན་པུཊི་,3y - 7 དེ་ ༠ ཨིན།,c
hsc-advanced_math-12-113,༢། ཟུར་ཐིག་ \sqrt{7} ཅིག་གིས་ བཱོལ་གཅིག་དང་གཅིག་ཁར་ ཟུར་ཐིག་ 60\degree བཟོཝ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-114,གསུམ་པ་ ཉམས་རྒུདཔ་གཉིས་ཆ་ར་བསྡོམས་ལས་ ཆུང་ཤོས་ཨིན།,\sqrt{7}x \pm ༡༦ = ༠ ཨིན་པ་ཅིན་,\sqrt{7}x \pm ༡༢ = ༠ ཨིན་པ་ཅིན་,y གི་གནས་གོང་འདི་ ༠ ཨིན།,\sqrt{7}y \pm ༡༢ = ༠ ཨིན་པ་ཅིན་,a
hsc-advanced_math-12-115,འ་ནི་ཚུ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,\pm 5 དེ་ནང་ལུ་,\pm \sqrt{7} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\pm \sqrt{31} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\pm \sqrt{39}འ་ནི་ལས་ཀ་འདི་གིས་ ཐད་ཀར་དུ་ ཁྱོད་རའི་ཨང་བཏགས་འདི་ ལེགས་བཅོས་འབད་ཚུགས།,d
hsc-advanced_math-12-116,8 དང་ 6 ཚུ་ ཚད་གཅིག་འབད་མི་ ཕྱོགས་གཅིག་འབད་མི་ དབྱེ་ཁག་གཉིས་ཨིན་པའི་ཤུགས་ཀྱིས་ 21 ཀྱི་ས་ཐག་རིང་སར་ཡོད་པའི་ དངོས་པོ་ཅིག་ལུ་ གནོད་སྐྱོན་རྐྱབ་ཡོདཔ་ཨིན། དབང་ཤུགས་གཉིས་ཆ་ར་གི་ས་སྒོ་འདི་ བརྗེ་སོར་འབད་བ་ཅིན་ ལེབ་དི་གི་ལཱ་གི་ས་སྒོ་འདི་ ས་སྒོ་ག་དེ་ཅིག་ལུ་ སྤོ་བཤུད་འབད་ནི་ཨིན་ན?,\frac{3}{\sqrt{2}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{3}{2\sqrt{2}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{\sqrt{3}}{\sqrt{2}}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{\sqrt{7}}{2\sqrt{2}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་དང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཚུ་ཨིན།,b
hsc-advanced_math-12-117,\sqrt{3} - ༡ གི་རྩ་བའི་ལྡོག་ཕྱོགས་འདི་ག་དེ་ཨིན་ན?,9,\frac{4}{9}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{3}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{8}{3} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,b
hsc-advanced_math-12-118,འ་ནི་ལས་ཀ་འདི་གིས་ ཐད་ཀར་དུ་ ཌེ་བི་ཡཱན་ ཌའི་ལོག་ནང་ལུ་བཏུབ་བཟོཝ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-119,i. ས་གཞི་འདི་ ༠ ལུ་ལྷོད་ནུག,\frac{1}{8}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{8}{15}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{4}{7} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,d
hsc-advanced_math-12-120,༢། དབྱེ་བ་འདི་ ནུས་པ་ཅན་ཨིན།,5,7,11,15,d
hsc-advanced_math-12-121,གསུམ་པ་ ཆ་ཤས་འདི་ ནུས་མེད་ཨིན།,0,1,༢x ཨིན་པས།,2x\sqrt{1 - x^{2}} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,b
hsc-advanced_math-12-122,འ་ནི་ཚུ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,2n\pi \pm \frac{\pi}{6} འདི་ཡང་ སྦ་སྒོར་ནང་ཨིན་,2n\pi \pm \frac{\pi}{3} འདི་ཡང་ སྦ་སྒོར་ནང་ཨིན་,n\pi \pm \frac{\pi}{6}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,n\pi \pm \frac{\pi}{3} འདི་ཡང་ སྦ་སྒོར་ནང་ཨིན་,c
hsc-advanced_math-12-123,x^{2} + 5x - 7 = 0 གི་རྩ་བ་ཚུ་ཨིན།,(2n+1) \frac{\pi}{2} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན།,(2n+1) \frac{\pi}{6} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན།,(2n+1) \frac{\pi}{3} འདི་ཡང་ བརྒྱ་ཆ་ ༢་དང་ ༡་གི་རྩིས་གཞི་ཨིན།,(2n \pm 1) \frac{\pi}{2}ལུ་ བསྒྱུར་བཅོས་འབད་ཡོདཔ་ཨིན།,b
hsc-advanced_math-12-124,2x^{2} - 5x + c = 0 གྱི་རྩ་བ་གཉིས་ཆ་ར་གིས་ འདྲ་མཉམ་གྱི་འབྲས་བུ་འདི་སོ་སོ་སྦེ་འཐོན་པ་ཅིན་ c གི་གནས་གོང་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,༣པི་,༢་པི་,\sqrt{3}P འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\sqrt{2}P འདི་ཡང་,c
hsc-advanced_math-12-125,2x^{3} - x^{2} - 5x - 2 = 0 གི་རྩ་བ་ཚུ་གི་བསྡོམས་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,8\sqrt{2}N འདི་ཚུ་,4\sqrt{2}N འདི་ཚུ་,༣༢\sqrt{2}N,༨ ནི,a
hsc-advanced_math-12-126,"x^{3} - px^{2} + 1 = 0 ཨིནམ་དང་ འདི་ནང་ལུ་རྩ་གསུམ་ \alpha, \beta དང་ \gamma ཡོད་པ་ཅིན་ \Sigma \alpha^{2} གི་གནས་གོང་དེ་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?",0\degree ཟེར་མི་འདི་,༤༥་\degrees,༩༠་\degree,༡༨༠་\degrees,c
hsc-advanced_math-12-127,3x^{2} - 4y + 6x - 5 = 0འདི་ ཀེར་ཐིག་ཅིག་ཨིན།,༣༠་\degrees,༤༥་\degrees,༦༠་\degree,༩༠་\degree,c
hsc-advanced_math-12-128,,\frac{1}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{1}{3}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\sqrt{5} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,3,c
