identity,question,a,b,c,d,correct_ answer
hsc-advanced_math-12-129,རང་བཞིན་གནས་སྟངས་འདི་ ག་ཅི་ལུ་དམིགས་ཏེ་ཡོདཔ་ཨིན་ན?,༣༠་\degrees,༤༥་\degrees,༦༠་\degree,༩༠་\degree,a
hsc-advanced_math-12-130,3x^{2} - 4y + 6x - 5 = 0 འདི་དཀྱིལ་འཁོར་ཅིག་ཨིན།,༣༠་\degrees,༦༠་\degree,༡༢༠,༡༥༠\degree,d
hsc-advanced_math-12-131,,2x\sqrt{x^{2} -1} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,2x\sqrt{1 - x^{2}} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,\frac{2x}{1 - x^{2}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{2x}{1 + x^{2}} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,b
hsc-advanced_math-12-132,རང་བཞིན་གྱི་ཐིག་ཁྲམ་འདི་ག་ཏེ་ཡོདཔ་སྨོ་ཟེར་,-5,-1,1,5,c
hsc-advanced_math-12-133,3x^{2} + 4y^{2} = 1 ཡན་ལག་གི་ཐིག་ཁྲམ་,3:07,4:07,7:03,7:04,a
hsc-advanced_math-12-134,i. དྭངས་གསལ་ཅན་ཨིན།,\pm 2\sqrt{2} དེ་ཚུ་འབད་བཏུབ་ཨིན།,\pm 4 དེ་ནང་ལུ་,\pm 4\sqrt{2} དེ་ཚུ་འབད་བཏུབ་ཨིན།,\pm 8 དེ་ནང་ལུ་,d
hsc-advanced_math-12-135,"༢། ཟུར་ཐིག་ (\pm 2\sqrt{3}, 0)",4,6,8,18,b
hsc-advanced_math-12-136,གསུམ་པ་ ཟུར་ཐིག་གི་རིང་ཚད་ = \frac{\sqrt{3}}{2},"(\pm \sqrt{13}, 0) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།","(\pm \sqrt{5}, 0) འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།","(0, \pm \sqrt{5}) འདི་ནང་ལུ་","(0, \pm \sqrt{13}) འདི་ནང་ལུ་",d
hsc-advanced_math-12-137,འ་ནི་ཚུ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,"2n\pi \pm \frac{\pi}{6}, n \epsilon \mathbb{Z} ཚུ་ཨིནམ་དང་","2n\pi \pm \frac{\pi}{3}, n \epsilon \mathbb{Z} འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོདཔ་ཨིན།","2n\pi \pm \frac{2\pi}{3}, n \epsilon \mathbb{Z} ཚུ་དང་ཕྱདཔ་ད་","2n\pi \pm \frac{5\pi}{6}, n \epsilon \mathbb{Z} ཚུ་ཨིནམ་དང་",c
hsc-advanced_math-12-138,9x^{2} + 16y^{2} = ༡༤༤ གི་ཐིག་ཁྲམ་འདི་ག་ཏེ་ཡོདཔ་ཨིན་ན?,-4,-3,0,4,c
hsc-advanced_math-12-139,y = 3x + c གིས་ 3x^{2} + 4y^{2} = 12 འབད་མི་ཐིག་ཁྲམ་འདི་འདོགས་པ་ཅིན་ c གི་གནས་གོང་འདི་ག་ཅི་ཨིན་ན?,-1,- ཨང་གྲངས་ཚུ་,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,2,b
hsc-advanced_math-12-140,x^2 - 8y^2 = 2 ཟེར་མི་འདི་གི་ལྟེ་བ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\frac{1}{\sqrt{1} - q^{2}} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,\sqrt{1 - q^{2}} དེ་ནང་ལུ་,\frac{1}{\sqrt{q^{2} - 1} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,\sqrt{q^{2} - 1} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,a
hsc-advanced_math-12-141,4x^{2} - 9y^{2} - 1 = 0 གི་ལྟག་ལུ་ཡོད་སའི་ ཕྲང་ཐིག་གི་རིང་ཚད་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,"n\pi - \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi - \frac{\pi}{2}, n \epsilon \mathbb{Z}","n\pi + \frac{\pi}{6}, n \epsilon \mathbb{Z} འདི་ ཀྲོང་གསར་ལུ་ཆགས་ཏེ་ཡོདཔ་ཨིན།","n \pi + \frac{\pi}{2}, n \epsilon \mathbb{Z} འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོདཔ་ཨིན།",c
hsc-advanced_math-12-142,f (x) = tan^{-1}x ཨིན་པ་ཅིན་,\pm 3 དེ་ནང་ལུ་,\pm 2\sqrt{2} དེ་ཚུ་འབད་བཏུབ་ཨིན།,\pm 6 དེ་ནང་ལུ་,\pm 8 དེ་ནང་ལུ་,d
hsc-advanced_math-12-143,i. 2f(x) = tan^{-1} \frac{2x}{1 - x^{2}},i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-144,༢་ f (x) = sin^{-1} \frac{2x}{1 - x^{2}},༣༠་\degrees,༦༠་\degree,༩༠་\degree,༡༢༠,d
hsc-advanced_math-12-145,༢ f (x) =cos^{-1} \frac{1 - x^{2}}{1 + x^{2}},i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-146,འ་ནི་ཚུ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,- ཨིན་ཅི་མིན་ཅི་,- ཨང་གྲངས་དེ་ ཨེ་རེ་ལུ་ཨེབ་གཏང་འབད།,\frac{1}{8}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{17}{8}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,d
hsc-advanced_math-12-147,tan \left (tan^{-1} \frac{1}{3} + tan^{-1} \frac{1}{5} \right) = ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,2x^{2} - 3x + 1 འདི་ ༠ ཨིན་པས།,2x^{2} + 3x - 1 འདི་ ༠ ཨིན།,2x^{2} - 3x - 1 འདི་ ༠ ཨིན་པས།,2x^{2} + 3x + 1 འདི་ ༠ ཨིན།,b
hsc-advanced_math-12-148,sec^{2} (tan^{-1}2) + cosec^{2}(cot^{-1}3) འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\frac{2}{\sqrt{5}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{2}{\sqrt{3}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{\sqrt{3}}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\frac{\sqrt{5}}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,c
hsc-advanced_math-12-149,sin^{-1}x + cos^{-1}x = \thetaཨིན་པ་ཅིན་ sin\thetaགི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,"(-4, 4)","(-4, 4]","(- \propto, - 4) \cup (4, \propto) འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ཨིན་","(-\propto, -4) \cup [4, \propto] འདི་ཡང་ སྦ་སྒོར་གི་མཐའ་མ་ལུ་ཡོདཔ་ཨིན།",c
hsc-advanced_math-12-150,cos2\theta = \frac{1}{2} འདི་ག་བཟུམ་ཅིག་ཨིན་ན་ཟེར་བ་ཅིན་ (n འདི་ཨང་གྲངས་ཚུ།),16x^2 + 25y^2 = 400 འདི་ཡང་ 400 ཨིན།,16x^2 - 25y^2 = 400 འདི་ལུ་བལྟ་བ་ཅིན་,9x^2 - 4y^2 འདི་ ༡༤༤ ཨིན་པས།,4x^2 - 9y^2 འདི་ ༡༤༤ ཨིན་པས།,c
hsc-advanced_math-12-151,cot2x འདི་ cotx = 1 ཨིན་པ་ཅིན་ x འདི་ག་དེ་ཅིག་ཨིན་ན?,\frac{\sqrt{3}}{2} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\sqrt{\frac{3}{2}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{1}{2\sqrt{2}} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,\frac{1}{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,c
hsc-advanced_math-12-152,འ་ནི་ནུས་པ་གཉིས་ཆ་ར་གིས་ P འདི་ 60° འབད་མི་ས་སྒོ་ཅིག་ལུ་ དབྱེ་བ་ཕྱེ་བ་ཅིན་ འ་ནི་ནུས་པ་གཉིས་ཆ་ར་གིས་ ག་དེ་དྲག་དྲག་ ཕན་ཐོགས་འབྱུང་ནི་སྨོ་,-9,-4,4,9,d
hsc-advanced_math-12-153,"པི་དང་ ཀི་གི་གནས་ཚད་ཀྱི་ཤུགས་གཉིས་ གཅིག་གིས་གཅིག་ལུ་ ཌིག་རི་ ༤༥་གི་ས་སྒོ་གཅིག་ནང་ལུ་ མཉམ་འབྲེལ་འབདཝ་ཨིན། འདི་ཚུ་གིས་ 16N,P གི་ཤུགས་ཀྱིས་ 30° འབད་མི་སྒོ་སྒྲིག་ཅིག་ བཟོ་ཡོདཔ་ཨིན། ཀི་བཱོལ་གྱི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?",-9,-4,4,9,d
hsc-advanced_math-12-154,ཌའི་ལོག་གཉིས་ཆ་ར་གིས་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་གིས་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་གིས་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ཌའི་ལོག་གཉིས་ཆ་ར་ལུ་ ད་ང་བཅས་གཉིས་ཆ་ར་གི་བར་ནའི་ ཟུར་ཐིག་འདི་ག་དེ་ཅིག་ཨིན་ན?,P,༢་པི་,༣པི་,༤པི་,a
hsc-advanced_math-12-155,"\sqrt{37}N,3N དང་ 4N གྱི་ཤུགས་གསུམ་གྱིས་ དངོས་པོ་གཅིག་གུ་ལཱ་འབད་དེ་ དབྱེ་སེལ་འབདཝ་ཨིན། 3N དང་ 4N གི་བར་ནའི་ཟུར་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?",༣༠་\degrees,༤༥་\degrees,༦༠་\degree,༡༢༠,c
hsc-advanced_math-12-156,f (x) =cossec (cot^{-1}x) ཨིན་པ་ཅིན་ f (x) (2) གི་གནས་གོང་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༡ ནི,༢ ནི,༣ ནི,༥ ནི,b
hsc-advanced_math-12-159,ཌི་བི་ཨོ་གི་ རྒྱང་ཚད་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,"- 3, - 1","0, 3","- 1, 3","1, 3",d
hsc-advanced_math-12-160,9x^{2} - 4y^{2} + 36 = 0 འདི་ཡར་སེང་གི་རྩིས་གཞི་ཨིན།,5,6,7,8,b
hsc-advanced_math-12-161,,6x^2 - 3x + 1 = 0 ཨིན་པས།,5x^{2} - 3x - 1 འདི་ ༠ ཨིན།,5x^{2} - 3x + 1 འདི་ ༠ ཨིན་པས།,3x^{2} - 5x + 1 འདི་ ༠ ཨིན།,c
hsc-advanced_math-12-162,སྦུག་གི་ས་སྒོ་འདི་ག་ཏེ་ལུ་ཡོདཔ་སྨོ་ཟེར་,x^{2} - 2x + 2 = 0 ཨིན་པས།,x^{2} + 2x - 2 འདི་ ༠ ཨིན།,x^{2} - 2x - 2 འདི་ ༠ ཨིན།,x^{2} + 2x + 2 འདི་ ༠ ཨིན།,a
hsc-advanced_math-12-163,2 cos2 \theta + 1 = 0 གི་སྤྱིར་བཏང་ཐབས་ལམ་འདི་ག་ཅི་ཨིན་ན་?,-2,0,1,3,b
hsc-advanced_math-12-164,"x^{3} - 4x + 3 = 0 འདི་ a, b, c གི་རྩ་བ་ཚུ་ཨིན་པ་ཅིན་ \Sigma a གི་གནས་གོང་འདི་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-165,གལ་སྲིད་ x^{2} + x + 2 = 0 འདི་ ཌའི་ལོག་གི་རྩ་བ་ \alpha དང་ \beta ཨིན་པ་ཅིན་ \frac{1}{\alpha} + \frac{1}{\beta} གི་གནས་གོང་དེ་ག་དེམ་ཅིག་འོང་ནི་ཨིན་ན?,2n\pi \pm \alpha ནང་ལུ་,n\pi \pm \alpha ཕྲ་རིང་གི་མཐའ་མ་ལུ་,n\pi + (-1) ^{n} \alpha ནང་ལུ་,n\pi - (- 1) ^{n} \alpha འདི་ཡང་ ཀེར་ཐིག་ཚུའི་མཐའ་མ་ལུ་ཡོདཔ་ཨིན།,a
hsc-advanced_math-12-166,"p = cos\theta, q = sin\theta ཨིན་པ་ཅིན་ ","n\pi - (- 1) ^{n} \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi + (- 1) ^{n} \frac{\pi}{6}, n \epsilon \mathbb{Z}","\frac{n\pi}{2} - (- 1) ^{n} \frac{\pi}{12}, n \epsilon \mathbb{Z}","\frac{n\pi}{2} + (- 1) ^{n} \frac{\pi}{12}, n \epsilon \mathbb{Z}",d
hsc-advanced_math-12-167,,\frac{\sqrt{3}}{5} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\frac{\sqrt{3}}{4} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\frac{4}{5}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{5}{4}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,c
hsc-advanced_math-12-168,sec\theta གི་གནས་གོང་ག་དེ་ཅིག་ཨིན་ན?,"(a sec\theta, bcosec\theta) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།","(b sec\theta, a cosec\theta) འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་ཨིན།","(a cos\theta, b sin\theta) འདི་ཡང་ ཀོ་སིཊ་དང་ བི་སིཊ་གཉིས་ཆ་རང་ཨིན།","(a sin \theta, b cos \theta) འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།",c
hsc-advanced_math-12-169,"p = cos\theta, q = sin\theta འདི་ཡང་ ""p"" འདི་ ""cos\theta"" དང་ ""q"" འདི་ ""sin\theta"" ཨིན།","[-1, 1]","(-1, 1]","(-1, 1)","[-1, 1)",a
hsc-advanced_math-12-170,,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-advanced_math-12-171,p - \sqrt{3}q = 0 གི་སྤྱིར་བཏང་ཐབས་ལམ་འདི་ག་ཅི་ཨིན་ན་?,"(0, 2)","(2, 0)","(1, 0)","(0, 1)",a
hsc-advanced_math-12-172,3x^{2} - px + 4 = 0 འདི་ p གི་གནས་གོང་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,y+3 = ༠ ཨིན་པུཊི་,y - 3 = ༠ ཨིན་ན།,x+3འདི་ ༠ ཨིན།,ཟློག་པ་གསུམ་འདི་ ༠ ཨིན།,b
hsc-advanced_math-12-173,\frac{x^{2}}{a^{2}} + \frac{y^{2}}{b^{2}} = 1 ཀེར་ཐིག་འདི་ ཀེར་ཐིག་གི་མིང་འདི་ཨིན།,ཟུར་ཐིག་,ལྡེ་མིག་,དུས་རྒྱུན་གྱི་,ཕབ་ཆག་ཐོབ་ཡོདཔ་ཨིན།,b
hsc-advanced_math-12-174,u དང་ v གཉིས་ཆ་ར་གཏན་འཁེལ་སྦེ་ཡོད་པ་ཅིན་ v^{2} = u^{2} + 2as འདི་ཡིག་འབྲུ་ལུ་འགྱུར་འོང་།,ཐད་ཕྲང་ཐིག་,དུས་རྒྱུན་གྱི་,ཕབ་ཆག་ཐོབ་ཡོདཔ་ཨིན།,ཟུར་ཐིག་,b
hsc-advanced_math-12-175,3x^{2} + 2y^{2} = 12 ཕྲང་ཐིག་གི་ ཚད་འཛིན་ཐིག་གི་རྩིས་གཞི་འདི་,༢་x = \pm \sqrt{3} འདི་ ༢་གི་གནས་གོང་ཨིན།,x = \pm 2\sqrt{3} འདི་ཡང་ སྦྲེལ་རྟགས་འདི་ཨིན།,y = \pm 2\sqrt{3} འདི་ཨིན་པ་ཅིན་,y = \pm 3\sqrt{2} འདི་ཡང་ y = \pm 3\sqrt{2} ཨིན།,d
hsc-advanced_math-12-176,a_{1}x^{2} + b_{1}x + c_{1} = 0 དང་ a_{2}x^{2} + b_{2}x + c_{2} = 0 གཉིས་ཆ་རང་འདི་ འདྲ་མཉམ་གྱི་རྩ་བ་སྤྱིར་བཏང་ཨིན་པའི་གནས་སྟངས་ཨིན།,a_{1}b_{2} = a_{2}b_{1} དང་ཅིག་སྦེ་ཨིན་,(a_{1}b_{2} - a_{2}b_{1}) = (c_{1}a_{2} - c_{2}a_{1}) ^{2},a_{1} + a_{2} = b_{1} + b_{2} = c_{1} + c_{2},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} = \frac{c_{1}}{c_{2}} ཕྲང་ཐིག་གི་ཕྲང་ཐིག་གི་ཕྲང་ཐིག་གི་ཕྲང་ཐིག་ཚུ་,d
hsc-advanced_math-12-177,y = mx + c འདི་ y^{2} = 4ax གི་མཐའ་འཁོར་ལུ་ཐོནམ་ཨིན།,"\left (\frac{a}{m^{2}}, \frac{2a}{m} \right) འདི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་","\left (\frac{a}{m^{2}}, \frac{m}{2a} \right) འདི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་","\left (\frac{2a}{m}, \frac{a}{m^{2}} \right) འདི་ སྦ་སྒོར་གི་མཐའ་མ་ལུ་ཡོད་པའི་ སྦ་སྒོར་དེ་ཨིན།","\left (\frac{m^{2}}{a}, \frac{2a}{m} \right) འདི་ སྦ་སྒོར་གི་མཐའ་མ་ལུ་ཡོད་པའི་ སྦ་སྒོར་དེ་ཨིན།",a
hsc-advanced_math-12-178,x^{2} = -12y འདི་ ཀེར་ཐིག་གི་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-179,"i. ཟུར་ཐིག་ཚུའི་ལྟེ་བ་འདི་ (0, -3)","10, 8","8, 10","5, 4","4, 5",a
hsc-advanced_math-12-180,༢། ཚད་འཛིན་གྱི་མཉམ་པ་ y - 3 = 0,y = \pm \frac{16}{\sqrt{41}} འདི་ཨིན་པ་ཅིན་,y = \pm \frac{25}{\sqrt{39}} འདི་ཨིན་པ་ཅིན་,y = \pm \frac{25}{\sqrt{41}} འདི་ཨིན་པ་ཅིན་,y = \pm \frac{\sqrt{41}}{25} ཚུ་ཨིནམ་དང་,c
hsc-advanced_math-12-181,གསུམ་པ་ ཟུར་ལྟེ་བའི་རིང་ཚད་ y+3 = 0 ཨིན།,\sqrt{\frac{3}{5}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\sqrt{\frac{5}{3}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་ཨང་གྲངས་ཨིན།,\sqrt{\frac{5}{2}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\sqrt{\frac{2}{5}} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,d
hsc-advanced_math-12-182,འ་ནི་ཚུ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,༦༠་\degree,༩༠་\degree,༡༢༠,༡༥༠\degree,d
hsc-advanced_math-12-183,"25x^{2} - 16y^{2} + 400 = 0 འདི་ ཧྲིལ་བུམ་གྱི་རྩིས་གཞི་ཨིན།

ཕྲ་རིང་གི་ལྟག་ཕྱོགས་དང་ ཟུར་གྱི་ལྟག་ཕྱོགས་འདི་ ",༣༠་\degrees,༤༥་\degrees,༡༠༠\degree,༡༢༠,d
hsc-advanced_math-12-184,"25x^{2} - 16y^{2} + 400 = 0 འདི་ ཧྲིལ་བུམ་གྱི་རྩིས་གཞི་ཨིན།

ཚད་འཛིན་གྱི་ཐིག་ཁྲམ་འདི་ག་ཅི་བཟུམ་ཅིག་ཨིན་ན?",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-advanced_math-12-185,3x^{2} + 5y^{2} = 15 འདི་ཡང་ ཟུར་ཐིག་གི་ལྟེ་བ་འདི་ཨིན།,1,-1,i,#NAME ཟེར་ཨིན་ན།,c
hsc-advanced_math-12-186,"པི་ ཨིསི་ཀའོརཊི་ (P, P) པོ་ལཱསི་གསུམ་འདི་ གཅིག་ཁར་བསྡོམས་ཏེ་ཡོད་པ་ཅིན་ དང་པ་དེ་དང་གཉིས་པ་གི་བར་ན་ཡོད་མི་ ཟུར་ཐིག་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་",\pm \frac{1}{\sqrt{3}} (1 + i) འདི་ ཀེར་ཐིག་གི་ གྱངས་ཁ་ཨིན།,\pm \frac{1}{\sqrt{3}} (1 - i) འདི་ ཀེར་ཐིག་གཉིས་པ་ཨིན་,\pm \frac{1}{\sqrt{6}} (1 + i) འདི་ སྦྲེལ་རྟགས་ཨིན་,\pm \frac{1}{\sqrt{6}} (1 - i) འདི་ ཀེར་ཐིག་ ༡ ལས་བརྒལ་མེདཔ་ཨིན།,c
hsc-advanced_math-12-187,སྣུམ་འཁོར་འདི་ དུས་ཡུན་ཆུ་ཚོད་ ༨ གི་ནང་འཁོད་ལུ་འགྱོ་ཚུགས། མི་དབང་མཆོག་གིས་ འདི་ཚུ་མགྱོགས་དྲགས་སྦེ་འགྱོ་དོ་ཡོདཔ་ཨིན། སྣུམ་འཁོར་ནང་ལས་ ཀི་ལོ་མི་ཊར་༡༦ དེ་ཅིག་གི་ས་ཁར་ མི་དབང་མཆོག་གིས་ སྣུམ་འཁོར་འདི་ག་ཏེ་ལུ་ བཏང་པ་ཅིན་ སྣུམ་འཁོར་གྱི་ཕྱོགས་ལུ་ ཟུར་ཐིག་གཅིག་བཟོ་ཚུགས་ག?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-advanced_math-12-188,འ་ནི་ལས་ཀ་འདི་གིས་ གཟུགས་ཀྱི་ཡན་ལག་ ཌེ་བི་ཡཱན་ (DBA) ནང་ལུ་བཏུབ་ཨིན།,-8,8,0,1,a
hsc-advanced_math-12-189,i. བར་སྟོང་ནང་ལུ་ དངོས་པོ་འདི་ འཁོར་ལམ་གཅིག་ནང་ལུ་འགྱོ་ནུག,ax^{2} + 2hxy + by^{2} འདི་ཡང་ སྦྲེལ་མཐུད་འབདཝ་ཨིན།,2x^2དང་ 3xy དེ་ལས་ y^2,2x^{2} + y^{2} + 2gx + 2fy + c འདི་ཡང་ 2x^{2} + y^{2} + 2gx + 2fy + c,2x^{2} + \frac{3y}{x} + y^{2} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,d
